,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
394,1.55965335218e+18,2.262545013,0.8506809998,9.593250732,train
395,1.55965335258e+18,2.505040741,0.8246351624,9.527088318,train
396,1.55965335298e+18,2.283800812,0.3986210632,9.50807785,train
397,1.55965335338e+18,2.245929565,0.8807684326,9.291328583,train
398,1.55965335378e+18,2.516117706,1.048569489,9.682315521,train
399,1.55965335418e+18,2.613115997,1.228345642,9.634265442,train
400,1.55965335458e+18,2.182910614,0.798589325,9.761500854,train
401,1.55965335498e+18,2.618953857,0.43409729,9.706714783,train
402,1.55965335538e+18,2.319576416,0.5583389282,9.543703766,train
403,1.55965335578e+18,2.461032257,0.6083349609,10.33510803,train
404,1.55965335618e+18,2.066303101,1.213825836,9.433383179,train
405,1.55965335658e+18,2.483485565,1.039139099,9.975705414,train
406,1.55965335698e+18,2.327210541,0.926124115,9.715097351,train
407,1.55965335738e+18,2.870879974,0.6753955078,10.07060806,train
408,1.55965335778e+18,2.478096771,0.8842112732,9.488318939,train
409,1.55965335818e+18,2.441572723,1.057251434,9.40164917,train
410,1.55965335858e+18,2.687810669,1.051563263,9.405690765,train
411,1.55965335898e+18,2.196981354,0.9098080444,9.645492096,train
412,1.55965335938e+18,2.495460663,0.6586303711,9.911638641,train
413,1.55965335978e+18,2.472109222,0.6884184265,9.462123413,train
414,1.55965336018e+18,2.347119141,1.087338867,9.410929871,train
415,1.55965336058e+18,2.596949615,0.8331674194,9.478289795,train
416,1.55965336098e+18,2.332449646,0.9018745422,9.46017746,train
417,1.55965336138e+18,2.579585724,0.8255332947,9.949060822,train
418,1.55965336178e+18,2.464026031,0.6080355835,10.02944366,train
419,1.55965336218e+18,2.528392181,0.8081694031,9.880054321,train
420,1.55965336259e+18,2.697241058,0.4646337891,9.92585907,train
421,1.55965336299e+18,2.073937225,1.138233032,8.957822113,train
422,1.55965336339e+18,2.59290802,0.655486908,9.758058014,train
423,1.55965336379e+18,2.237546997,0.8991801453,9.211993561,train
424,1.55965336419e+18,2.272723846,0.8216413879,9.644444275,train
425,1.55965336459e+18,2.490071869,0.869841156,9.637408905,train
426,1.55965336499e+18,2.197729797,1.011296997,9.670490112,train
427,1.55965336539e+18,2.54021759,0.841999054,9.735604706,train
428,1.55965336579e+18,2.29218338,0.7450007629,9.635163574,train
429,1.55965336619e+18,2.518961792,0.8969348145,9.580826569,train
430,1.55965336659e+18,2.568209381,1.230141907,9.488768005,train
431,1.55965336699e+18,2.617906036,0.9216334534,10.11371841,train
432,1.55965336739e+18,2.488874359,0.7699987793,10.03992188,train
433,1.55965336779e+18,2.306104431,0.734223175,9.426347809,train
434,1.55965336819e+18,2.555036774,0.7635621643,9.443112946,train
435,1.55965336859e+18,2.161804504,1.365610199,9.058862,train
436,1.55965336899e+18,2.585573273,1.219663696,9.262588348,train
437,1.55965336939e+18,2.668800201,0.7806266785,9.59355011,train
438,1.55965336979e+18,2.560275879,0.9202862549,9.788444824,train
439,1.55965337019e+18,2.357447662,0.6342311096,9.73979599,train
440,1.55965337059e+18,2.642754364,0.7478448486,9.871372375,train
441,1.55965337099e+18,2.478545837,0.9743238831,9.832303619,train
442,1.55965337139e+18,2.474204865,1.048120422,9.773475952,train
443,1.55965337179e+18,2.385888519,0.8655001831,9.481732635,train
444,1.55965337219e+18,2.471809845,0.7806266785,9.85685257,train
445,1.55965337259e+18,2.189047852,0.8105644226,9.585466919,train
446,1.55965337299e+18,2.618055725,0.9062155151,10.01417542,train
447,1.55965337339e+18,2.405946808,0.969533844,9.345665588,train
448,1.55965337379e+18,2.463876343,0.7622149658,9.536967773,train
449,1.55965337419e+18,2.415975952,0.7824229431,9.573042755,train
450,1.55965337459e+18,2.730921021,0.8728349304,9.580826569,train
451,1.55965337499e+18,2.289339294,0.9684860229,9.328750763,train
452,1.55965337539e+18,2.279160461,0.9928852844,9.148974609,train
453,1.5596533758e+18,2.435884552,0.8659492493,9.518406372,train
454,1.5596533762e+18,2.424657898,0.9479786682,9.657766571,train
455,1.5596533766e+18,2.645897827,0.8976832581,9.862241364,train
456,1.559653377e+18,2.542911987,0.8452922058,9.723629608,train
457,1.5596533774e+18,2.362088013,1.0683284,9.367370453,train
458,1.5596533778e+18,2.719095612,0.8340655518,9.741143188,train
459,1.5596533782e+18,2.255210266,1.038390656,9.480984192,train
460,1.5596533786e+18,2.423759766,0.9686357117,9.376800842,train
461,1.559653379e+18,2.538870392,0.8077203369,9.874964905,train
462,1.5596533794e+18,2.388882294,0.9690847778,9.381890259,train
463,1.5596533798e+18,2.696043549,0.8713380432,9.842931519,train
464,1.5596533802e+18,2.201172638,0.9388476562,9.373657379,train
465,1.5596533806e+18,2.538870392,0.4540058899,9.639953613,train
466,1.559653381e+18,2.530487823,0.8824150085,9.044342194,train
467,1.5596533814e+18,2.633174286,1.06249054,9.656119995,train
468,1.5596533818e+18,2.641856232,0.9848020935,9.347910919,train
469,1.5596533822e+18,2.721041565,0.8463400269,10.0541423,train
470,1.5596533826e+18,2.545756073,0.8147557068,9.503886566,train
471,1.559653383e+18,2.179168396,1.440753937,9.342222748,train
472,1.5596533834e+18,2.960543518,0.1203497314,9.794132996,train
473,1.5596533838e+18,2.450853424,0.9345066833,9.778715057,train
474,1.5596533842e+18,2.607128448,0.94543396,9.658365326,train
475,1.5596533846e+18,2.628833313,0.6225553894,10.00264938,train
476,1.559653385e+18,2.432890778,0.7553292847,9.813442841,train
477,1.5596533854e+18,2.608325958,0.7191046143,9.826316071,train
478,1.5596533858e+18,2.439926147,0.9445358276,9.674082642,train
479,1.5596533862e+18,2.153122559,0.978664856,9.413025513,train
480,1.5596533866e+18,2.587668915,0.7741900635,9.894574127,train
481,1.559653387e+18,2.251617737,0.7054829407,9.60402832,train
482,1.5596533874e+18,2.563569031,0.7994874573,9.924811249,train
483,1.5596533878e+18,2.274969177,0.8434959412,9.717342682,train
484,1.5596533882e+18,2.732417908,0.8493338013,10.22284149,train
485,1.5596533886e+18,2.255359955,0.909508667,9.661059723,train
486,1.559653389e+18,2.709365845,0.818946991,10.28002258,train
487,1.55965338941e+18,1.911524963,0.8128097534,9.438921661,train
488,1.55965338981e+18,2.315834198,0.883762207,9.732161865,train
489,1.55965339021e+18,2.677781525,0.8978329468,9.19807251,train
490,1.55965339061e+18,2.445165253,0.918639679,9.746232605,train
491,1.55965339101e+18,2.346370697,0.9009764099,9.541159058,train
492,1.55965339141e+18,2.314487,0.7458988953,9.787097626,train
493,1.55965339181e+18,2.422262878,0.7417076111,9.519304504,train
494,1.55965339221e+18,2.424208832,0.776585083,9.610315247,train
495,1.55965339261e+18,2.493963776,0.9656419373,9.621092834,train
496,1.55965339301e+18,2.428400116,0.7282356262,9.497449951,train
497,1.55965339341e+18,2.410886536,0.8867559814,9.685608673,train
498,1.55965339381e+18,2.473456421,0.7062313843,9.488768005,train
499,1.55965339421e+18,2.716700592,1.076860657,9.864037628,train
500,1.55965339461e+18,2.133962402,1.345252533,9.098978577,train
501,1.55965339501e+18,2.555336151,0.9201365662,9.808652802,train
502,1.55965339541e+18,2.383643188,0.7427554321,9.459728394,train
503,1.55965339581e+18,2.399659882,0.6423143005,9.770631866,train
504,1.55965339621e+18,2.398911438,0.9398954773,9.289532318,train
505,1.55965339661e+18,2.548151093,1.024319916,9.640402679,train
