"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.264592650E1,-2.664428234E0,1.816323996E0,-1.758991957E0
6.289549850E1,8.186166286E-1,1.390048504E0,3.912267923E0
6.314510250E1,-4.625502825E-1,7.221200466E-1,-5.485208631E-1
6.339471717E1,-1.042048335E0,-3.508056641E0,-2.681566954E0
6.364429017E1,-1.670801401E0,8.246555924E-1,-2.259043932E0
6.389389317E1,-1.204765320E0,1.216411710E0,2.172792435E0
6.414349617E1,-6.301801801E-1,1.646772265E0,1.814696193E0
6.439305975E1,-3.549196720E-1,-2.297155857E0,-1.833554149E0
6.464266275E1,-8.657224178E-1,-1.021759510E0,-2.568605423E0
6.489226675E1,3.512084782E-1,2.308486700E-1,2.055135489E0
6.514183875E1,-1.315387726E0,2.843649864E0,1.737704158E0
6.539144925E1,5.921930075E-1,5.021902919E-1,7.737553716E-1
6.564105225E1,-1.374215722E0,-9.509570003E-1,-4.205768108E0
6.589062525E1,-5.722346306E-1,4.887858033E-1,-2.316896170E-1
6.614022825E1,3.061033189E-1,6.656340957E-1,4.174312592E0
6.638981163E1,-2.548633337E0,2.817991734E0,1.708644927E-1
6.663938462E1,-4.960653782E-1,6.334832311E-1,-8.112989664E-1
6.688898763E1,1.919582486E-1,-4.584617317E-1,-2.025410652E0
6.713859062E1,-3.395460844E-1,-5.963858217E-2,3.459937871E-1
6.738818463E1,-1.315777421E0,1.356393456E0,1.351278901E0
6.763778863E1,-1.258000135E0,1.911849260E0,1.003957987E0
6.788739163E1,1.371127725E0,-1.517810702E0,-1.022138238E0
6.813699463E1,-1.566674113E-1,-1.307030439E0,-2.167051315E0
6.838655113E1,5.338412244E-3,1.714378238E0,1.313476324E0
6.863615413E1,-7.061867118E-1,3.109991789E0,2.808775663E0
6.888575713E1,-3.642337918E-1,8.552788496E-1,-1.141719460E0
6.913533013E1,1.323305726E0,-3.887579203E0,-1.703030586E0
6.938492612E1,-6.076693535E-1,-5.164075494E-1,-1.347260833E0
6.963453013E1,2.866541147E-1,8.518105149E-1,2.485926390E0
6.988410213E1,9.744027853E-1,-5.855421424E-1,1.792861819E0
7.013370613E1,1.183526397E0,-1.425329447E0,-9.276860356E-1
7.038331800E1,1.614318341E-1,-1.228627920E0,-1.662528515E0
7.063292100E1,-8.292164654E-2,2.019288391E-1,-3.606691360E-1
7.088249400E1,-5.007438064E-1,2.048660755E0,2.278023720E0
7.113209700E1,9.239175916E-2,9.605363011E-1,7.085800171E-2
