"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.950344537E1,6.850803680E0,-7.435188446E0,1.456920319E0
7.990493962E1,6.652316437E0,-1.269719604E1,-5.535488892E-1
8.030642863E1,5.458997955E0,-7.426506500E0,1.162332916E0
8.070793638E1,1.019694534E1,-1.083716400E1,-1.334175568E0
8.110939538E1,3.459905090E0,-5.987548828E0,-7.500901794E-1
8.151085437E1,7.816595306E0,-7.865393829E0,9.160949707E-2
8.191230625E1,1.184247345E1,-9.349108429E0,3.263214111E-1
8.231376425E1,4.392016754E0,-7.083719330E0,3.573069763E-1
8.271526979E1,6.230493622E0,-7.646399231E0,1.761836243E-1
8.311672879E1,7.477250977E0,-9.242380371E0,-8.146060181E-1
8.351818779E1,1.058149567E0,-1.096320190E1,5.418731689E-2
8.391969638E1,7.915988617E0,-8.978179779E0,8.662486267E-1
8.432118537E1,8.297994232E0,-1.200698135E1,1.850451965E0
8.472266242E1,1.561403046E0,-1.264480499E1,2.031425629E0
8.512415242E1,1.121018829E1,-1.208661575E1,5.242098999E-1
8.552561042E1,7.192543030E0,-1.294388306E1,2.536325684E0
8.592711587E1,3.432212677E0,-7.849826202E0,1.100212097E-1
8.632860488E1,6.495442657E0,-7.475155334E0,-8.077203369E-1
8.673009662E1,-1.544188843E0,-1.379830627E1,3.140469360E0
8.713161662E1,8.159382477E0,-9.349707184E0,6.512956238E-1
8.753313662E1,7.007378082E0,-1.064870590E1,1.073567505E0
8.793463779E1,4.975653076E0,-6.347550201E0,9.684860229E-2
8.833612779E1,4.105512543E0,-6.325845337E0,3.399131470E0
8.873764187E1,9.138496399E0,-4.806504822E0,2.053878937E0
8.913913088E1,3.873644714E0,-6.006559296E0,-8.807684326E-1
8.954065088E1,4.550537109E0,-6.990463257E0,1.730850677E0
8.994214900E1,6.120622101E0,-7.540868683E0,-5.430706787E-1
9.034360800E1,2.575244751E0,-1.252206024E1,1.158740387E0
9.074510825E1,8.385861511E0,-9.749974823E0,2.963237915E0
9.114662825E1,8.525670776E0,-1.160836029E1,1.852996674E0
9.154811725E1,4.001927948E0,-1.018871246E1,9.565109253E-1
9.194961425E1,8.581055603E0,-8.172555084E0,1.224902802E0
9.235110325E1,4.173321533E0,-8.828191681E0,1.647174683E0
9.275263150E1,4.649032288E0,-8.783285065E0,1.211730194E0
9.315415050E1,7.532336426E0,-7.459288330E0,-8.074209595E-1
9.355567050E1,5.908363495E0,-1.238838821E1,1.556313629E0
9.395717212E1,1.317500244E1,-1.042626846E1,5.888754272E-1
9.435869213E1,9.067843323E0,-1.037447617E1,2.328707428E0
9.476022229E1,7.872728577E0,-9.568252716E0,1.881437531E0
9.516174129E1,5.649402008E0,-5.185816040E0,1.112336884E0
9.556329229E1,1.100810852E1,-6.965315552E0,-6.218069458E-1
9.596484229E1,4.345613251E0,-6.007457428E0,-1.191222839E0
9.636633129E1,4.005071411E0,-7.344028015E0,1.708996124E0
9.676787350E1,9.076076202E0,-6.485563202E0,1.933828583E0
9.716942450E1,5.076094208E0,-1.173439819E1,6.993457031E-1
9.757094350E1,6.033652954E0,-6.735693054E0,1.015787659E0
9.797250063E1,8.965007172E0,-9.894723816E0,2.061662750E0
9.837402063E1,5.290897522E0,-9.931247864E0,6.194119263E-1
9.877557400E1,9.142388306E0,-1.050021469E1,1.420246582E0
9.917709400E1,4.728666687E0,-8.198750610E0,1.866468658E0
9.957861300E1,6.215375061E0,-8.015531616E0,-8.518785095E-1
9.998020429E1,7.762707367E0,-8.064479828E0,-3.327580261E-1
1.003817853E2,5.130730591E0,-1.300974609E1,1.136736145E0
1.007833711E2,8.796906738E0,-1.068283493E1,1.620380402E0
1.011849211E2,6.964417419E0,-8.925339661E0,1.075064392E0
1.015865021E2,2.638263702E0,-9.068591766E0,1.224004669E0
1.019880920E2,8.711135101E0,-9.407187653E0,1.727707214E0
1.023896730E2,5.301226044E0,-1.205592957E1,1.731299744E0
1.027911843E2,4.769382019E0,-6.923402710E0,-2.782713318E-1
1.031927653E2,4.465064850E0,-7.230264587E0,3.559597778E0
1.035943153E2,8.527167664E0,-8.603359222E0,-4.367916870E-1
1.039959042E2,2.614163818E0,-7.768694916E0,3.261717224E-1
1.043975152E2,5.368885345E0,-6.959178314E0,1.390907593E0
1.047991091E2,8.218958588E0,-1.110046646E1,1.225351868E0
1.052006901E2,4.192631378E0,-1.056772430E1,1.596430206E0
1.056022711E2,8.696914673E0,-1.048000671E1,1.195863190E0
1.060038818E2,4.077670441E0,-8.096812592E0,1.203796692E0
1.064054318E2,6.087391205E0,-9.264983368E0,7.830216980E-1
1.068069652E2,6.904092865E0,-8.899593201E0,9.779164124E-1
1.072085163E2,5.536536713E0,-1.386431900E1,1.135239258E0
1.076100662E2,1.190010361E1,-9.592651978E0,1.788780212E-1
1.080115659E2,6.784192200E0,-1.099044525E1,2.677332458E0
1.084130859E2,4.993915100E0,-8.901539154E0,1.543141022E0
1.088146110E2,7.997269592E0,-1.004186783E1,2.725382538E0
1.092161000E2,4.613256683E0,-6.208190002E0,-2.221380615E-1
1.096175890E2,5.761369171E0,-6.773564301E0,-8.068222046E-2
1.100190423E2,7.946525116E0,-8.293802948E0,2.323618011E0
1.104205312E2,7.219487000E0,-1.167691772E1,2.000290375E0
1.108219804E2,6.921756134E0,-1.023197250E1,9.630972290E-1
1.112234394E2,5.470973053E0,-7.513924713E0,3.412304077E0
1.116249284E2,7.681276703E0,-9.134754181E0,-3.546125793E-1
1.120263553E2,6.888225861E0,-1.250903732E1,2.499651947E0
1.124278143E2,7.130272522E0,-8.193960571E0,2.065704346E-2
1.128292787E2,6.404132538E0,-9.497300262E0,2.128274231E0
1.132307377E2,5.055736542E0,-1.261860947E1,3.172951813E0
1.136322267E2,7.663463745E0,-1.054946228E1,1.336121521E0
1.140336697E2,5.040617981E0,-8.024063873E0,1.486708374E0
1.144351277E2,5.783672791E0,-9.596394196E0,1.434916077E0
1.148366392E2,9.031169586E0,-1.149309998E1,2.430944824E0
1.152380972E2,4.362677765E0,-7.097790070E0,1.447938995E0
1.156396783E2,5.254972229E0,-7.018455048E0,6.771917725E-1
1.160412334E2,7.417076111E0,-7.423662415E0,-4.466711426E-1
1.164428144E2,4.020189972E0,-6.762337646E0,1.290915527E0
1.168443429E2,6.368806000E0,-7.373816071E0,7.665559387E-1
1.172458939E2,8.314609680E0,-7.885152740E0,7.819738770E-1
1.176474139E2,5.427713013E0,-5.042563934E0,5.953120422E-1
1.180489676E2,8.228239288E0,-8.634195099E0,1.668879547E0
1.184504566E2,6.133195953E0,-6.953789520E0,1.352587280E0
1.188518960E2,7.805967407E0,-1.124850861E1,5.912704468E-1
1.192533550E2,4.766837311E0,-9.929451599E0,3.472778320E-2
1.196548440E2,5.290149078E0,-7.154372406E0,2.576442261E0
1.200562940E2,7.710615692E0,-8.255632324E0,-9.261241150E-1
1.204576610E2,2.565065918E0,-9.407187653E0,-1.468446350E-1
1.208591015E2,1.215442474E1,-7.588170319E0,3.591032410E-1
1.212605305E2,6.914571075E0,-9.848470001E0,2.204465790E0
1.216619275E2,7.806416473E0,-1.413106430E1,2.385888519E0
1.220632975E2,6.743626556E0,-7.874674530E0,1.470541992E0
1.224647255E2,7.222181396E0,-7.786807251E0,2.666704559E0
1.228661697E2,3.337609406E0,-8.087082825E0,3.445834351E-1
1.232675977E2,9.759704590E0,-9.891879730E0,2.269281006E0
1.236689947E2,6.238277435E0,-7.418123932E0,1.148112488E0
1.240703971E2,4.624932404E0,-7.020999756E0,2.182461548E-1
1.244717951E2,7.325316925E0,-1.093027039E1,3.538641357E-1
1.248732166E2,4.935686188E0,-5.087171173E0,5.583389282E-2
1.252746446E2,7.354506226E0,-1.394784531E1,3.664529572E0
1.256760736E2,6.081253967E0,-7.062313843E0,1.833686829E0
1.260775140E2,7.418722687E0,-1.120240448E1,1.380279694E0
1.264789430E2,5.765111389E0,-9.823771362E0,5.373825073E-1
1.268803974E2,5.860912170E0,-7.133266296E0,2.587668915E0
1.272817944E2,7.606432343E0,-1.000399658E1,-2.649490356E-2
1.276832234E2,6.921157379E0,-1.525417877E1,2.217039642E0
1.280846997E2,7.213050385E0,-6.715185699E0,-7.274871826E-2
1.284861277E2,8.388406219E0,-9.250313873E0,1.435065765E0
1.288875311E2,5.659730530E0,-9.629774780E0,2.334844666E0
1.292889291E2,9.976603546E0,-9.603279877E0,1.289568329E0
1.296903199E2,5.900130615E0,-8.318651276E0,2.094145203E0
1.300916869E2,6.981931000E0,-9.694440308E0,2.156116333E0
1.304931159E2,7.887398071E0,-8.681347046E0,5.957611084E-1
1.308944980E2,5.777535553E0,-1.075303894E1,2.323468323E0
1.312959270E2,5.119803314E0,-1.100795883E1,1.209335175E0
1.316973644E2,6.401438141E0,-1.063867676E1,8.827143860E-1
