,Heart Rate,Time
629,68,01:19:59
630,67,01:20:04
631,66,01:20:09
632,67,01:20:14
633,68,01:20:19
634,67,01:20:29
635,68,01:20:44
636,68,01:20:59
637,68,01:21:00
638,66,01:21:05
639,67,01:21:10
640,68,01:21:20
641,67,01:21:30
642,68,01:21:35
643,67,01:21:40
644,68,01:21:45
645,69,01:21:50
646,68,01:21:55
647,69,01:22:00
648,66,01:22:05
649,68,01:22:10
650,69,01:22:15
651,68,01:22:20
652,69,01:22:35
653,70,01:22:40
654,69,01:22:45
655,68,01:22:55
656,68,01:23:10
657,69,01:23:20
658,68,01:23:30
659,68,01:23:45
660,70,01:23:55
661,69,01:24:10
662,67,01:24:15
663,68,01:24:20
664,69,01:24:27
665,70,01:24:37
666,69,01:24:42
667,70,01:24:47
668,68,01:25:02
669,69,01:25:07
670,70,01:25:12
671,69,01:25:22
672,68,01:25:27
673,69,01:25:32
674,70,01:25:37
675,69,01:25:42
676,70,01:25:47
677,71,01:25:52
678,70,01:25:57
679,70,01:26:12
680,69,01:26:22
681,70,01:26:32
682,69,01:26:37
683,68,01:26:42
684,70,01:26:47
685,69,01:26:52
686,71,01:26:57
687,69,01:27:02
688,70,01:27:07
689,68,01:27:12
690,69,01:27:17
691,69,01:27:24
692,70,01:27:29
693,69,01:27:39
694,68,01:27:44
695,69,01:27:49
696,70,01:27:54
697,71,01:27:59
698,72,01:28:04
699,71,01:28:14
700,71,01:28:29
701,83,01:28:39
702,83,01:28:44
703,92,01:28:54
704,96,01:28:59
705,90,01:29:04
706,82,01:29:09
707,75,01:29:14
708,71,01:29:19
709,70,01:29:24
710,69,01:29:29
711,67,01:29:34
712,69,01:29:39
713,67,01:29:44
714,70,01:29:49
715,69,01:29:54
716,68,01:30:01
717,75,01:30:11
718,77,01:30:16
719,73,01:30:21
720,69,01:30:26
721,71,01:30:31
722,69,01:30:36
723,72,01:30:41
724,68,01:30:46
725,71,01:30:51
726,69,01:30:56
727,68,01:31:06
728,66,01:31:11
729,69,01:31:16
730,70,01:31:21
731,72,01:31:26
732,70,01:31:31
733,71,01:31:41
734,69,01:31:46
735,72,01:31:56
736,68,01:32:01
737,73,01:32:06
738,72,01:32:11
739,69,01:32:16
740,67,01:32:21
741,67,01:32:26
742,64,01:32:31
743,63,01:32:37
744,66,01:32:42
745,68,01:32:47
746,69,01:32:52
747,68,01:33:02
748,70,01:33:07
749,70,01:33:12
750,67,01:33:17
751,66,01:33:32
752,67,01:33:37
753,72,01:33:42
754,71,01:33:47
755,68,01:33:52
756,69,01:34:02
757,68,01:34:17
758,66,01:34:22
759,68,01:34:27
760,64,01:34:32
761,65,01:34:47
762,68,01:34:52
763,67,01:34:57
764,63,01:35:02
765,66,01:35:07
766,69,01:35:12
767,65,01:35:17
768,67,01:35:22
769,68,01:35:32
770,71,01:35:39
771,70,01:35:44
772,68,01:35:49
773,67,01:35:54
774,68,01:35:59
775,70,01:36:04
776,66,01:36:09
777,67,01:36:19
778,68,01:36:29
779,67,01:36:39
780,69,01:36:49
781,68,01:36:54
782,65,01:36:59
783,64,01:37:04
784,66,01:37:14
785,64,01:37:19
786,65,01:37:24
787,66,01:37:34
788,72,01:37:39
789,79,01:37:54
790,68,01:37:59
791,66,01:38:04
792,65,01:38:09
793,66,01:38:14
794,69,01:38:19
795,63,01:38:24
796,66,01:38:30
797,63,01:38:35
798,65,01:38:40
799,64,01:38:45
800,67,01:38:50
801,68,01:38:55
802,69,01:39:00
803,68,01:39:10
804,68,01:39:15
805,63,01:39:20
806,66,01:39:25
807,65,01:39:30
808,66,01:39:35
809,68,01:39:45
810,71,01:39:50
811,73,01:39:55
812,76,01:40:00
813,73,01:40:15
814,71,01:40:20
815,69,01:40:25
816,66,01:40:30
817,63,01:40:35
818,67,01:40:40
819,69,01:40:55
820,71,01:41:00
821,75,01:41:05
822,68,01:41:10
823,64,01:41:17
824,68,01:41:22
825,69,01:41:27
826,72,01:41:32
827,65,01:41:37
828,68,01:41:42
829,69,01:41:47
830,66,01:41:52
831,69,01:41:57
832,70,01:42:02
833,72,01:42:07
834,69,01:42:12
835,70,01:42:22
836,71,01:42:27
837,76,01:42:32
838,74,01:42:37
839,72,01:42:42
840,72,01:42:47
841,70,01:42:52
842,71,01:43:07
843,73,01:43:12
844,75,01:43:17
845,74,01:43:22
846,76,01:43:27
847,80,01:43:32
848,78,01:43:42
849,79,01:43:47
850,74,01:43:53
851,72,01:44:03
852,71,01:44:08
853,70,01:44:13
854,66,01:44:18
855,69,01:44:23
856,72,01:44:28
857,73,01:44:38
858,75,01:44:43
859,77,01:44:48
860,82,01:44:53
861,75,01:44:58
862,69,01:45:13
863,66,01:45:18
864,70,01:45:23
865,70,01:45:28
866,69,01:45:33
867,65,01:45:38
868,68,01:45:48
869,71,01:45:53
870,70,01:45:58
871,69,01:46:08
872,70,01:46:13
873,72,01:46:18
874,73,01:46:23
875,72,01:46:28
876,70,01:46:33
877,72,01:46:39
878,72,01:46:49
879,73,01:46:54
880,75,01:46:59
881,73,01:47:09
882,75,01:47:14
883,69,01:47:19
884,67,01:47:24
885,69,01:47:34
886,71,01:47:39
887,69,01:47:44
888,70,01:47:49
889,71,01:47:54
890,70,01:47:59
891,74,01:48:04
892,77,01:48:09
893,76,01:48:14
894,74,01:48:19
895,75,01:48:24
896,71,01:48:29
897,72,01:48:34
898,72,01:48:49
899,73,01:48:54
900,70,01:48:59
901,71,01:49:04
902,70,01:49:09
903,71,01:49:14
904,71,01:49:21
905,73,01:49:26
906,70,01:49:31
907,71,01:49:36
908,69,01:49:51
909,70,01:49:56
910,70,01:50:01
911,71,01:50:06
912,67,01:50:11
913,70,01:50:16
914,69,01:50:21
915,72,01:50:26
916,71,01:50:31
917,69,01:50:36
918,68,01:50:41
919,70,01:50:51
920,70,01:51:06
921,72,01:51:11
922,72,01:51:16
923,70,01:51:26
924,69,01:51:31
925,68,01:51:36
926,69,01:51:41
927,72,01:51:56
928,69,01:52:01
929,67,01:52:16
930,69,01:52:21
931,69,01:52:28
932,66,01:52:33
933,68,01:52:38
934,71,01:52:48
935,70,01:52:53
936,71,01:52:58
937,70,01:53:03
938,71,01:53:08
939,69,01:53:13
940,67,01:53:18
941,68,01:53:28
942,73,01:53:33
943,70,01:53:38
944,72,01:53:48
945,69,01:53:58
946,70,01:54:03
947,68,01:54:08
948,69,01:54:13
949,68,01:54:18
950,69,01:54:23
951,70,01:54:28
952,72,01:54:43
953,73,01:54:48
954,70,01:54:53
955,71,01:55:03
956,73,01:55:13
957,70,01:55:18
958,71,01:55:24
959,72,01:55:29
960,70,01:55:34
961,71,01:55:39
962,70,01:55:54
963,71,01:55:59
964,70,01:56:04
965,68,01:56:09
966,69,01:56:14
967,70,01:56:19
968,71,01:56:29
969,70,01:56:34
970,73,01:56:39
971,72,01:56:49
972,71,01:56:54
973,70,01:56:59
974,71,01:57:04
975,72,01:57:09
976,74,01:57:14
977,72,01:57:19
978,71,01:57:24
979,73,01:57:29
980,70,01:57:34
981,68,01:57:44
982,69,01:57:54
983,70,01:58:04
984,71,01:58:09
985,70,01:58:16
986,72,01:58:21
987,71,01:58:36
988,72,01:58:46
989,73,01:58:51
990,73,01:59:06
991,75,01:59:11
992,72,01:59:16
993,70,01:59:31
994,71,01:59:36
995,72,01:59:46
996,71,02:00:01
997,74,02:00:06
998,73,02:00:11
999,72,02:00:26
1000,73,02:00:41
1001,74,02:00:51
1002,73,02:00:56
1003,72,02:01:01
1004,71,02:01:06
1005,70,02:01:16
1006,71,02:01:21
1007,72,02:01:26
1008,73,02:01:36
1009,74,02:01:41
1010,73,02:01:56
1011,72,02:02:11
1012,72,02:02:13
1013,73,02:02:18
1014,74,02:02:23
1015,75,02:02:38
1016,78,02:02:43
1017,78,02:02:48
1018,77,02:02:53
1019,78,02:02:58
1020,90,02:03:03
1021,79,02:03:08
1022,76,02:03:13
1023,77,02:03:18
1024,71,02:03:23
1025,74,02:03:28
1026,77,02:03:33
1027,72,02:03:38
1028,71,02:03:43
1029,72,02:03:58
1030,73,02:04:13
1031,72,02:04:18
1032,70,02:04:23
1033,71,02:04:33
1034,69,02:04:38
1035,72,02:04:43
1036,77,02:04:48
1037,73,02:04:54
1038,75,02:04:59
1039,77,02:05:04
1040,70,02:05:09
1041,72,02:05:14
