,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
193,1.55965414017e+18,0.4032151699,1.913985372,3.881356716
194,1.55965414042e+18,-0.1884221137,1.359804988,-0.2307210714
195,1.55965414067e+18,-0.9811165929,-2.124184847,-3.344315052
196,1.55965414092e+18,-1.807286382,1.424769998,-1.995425105
197,1.55965414117e+18,0.05193729326,1.516024113,3.167858362
198,1.55965414142e+18,0.062859945,1.018518448,0.6235457659
199,1.55965414167e+18,-0.1978951842,-2.793785095,-2.429238796
200,1.55965414192e+18,-0.9653581381,-0.4295507967,-2.462852001
201,1.55965414217e+18,0.2241798192,1.601683021,1.80264461
202,1.55965414242e+18,0.3614305556,1.09912765,2.838166714
203,1.55965414267e+18,0.5209525228,-0.7429046631,-1.54529047
204,1.55965414292e+18,0.138596788,-1.295851588,-2.954948425
205,1.55965414316e+18,-0.4613537788,-0.08497063816,0.1473143846
206,1.55965414341e+18,0.5274244547,0.7097252607,2.077751398
207,1.55965414366e+18,-3.213251829,4.261395931,0.6347233653
208,1.55965414391e+18,0.2744602263,0.3077956736,0.9676994085
209,1.55965414416e+18,-0.2036858797,-0.0251230374,-2.254331112
210,1.55965414441e+18,-0.8571857214,0.4826859832,0.3970588744
211,1.55965414466e+18,0.4525231719,0.1196966022,1.029423475
212,1.55965414491e+18,-0.02490704879,1.261472464,1.375939131
213,1.55965414516e+18,0.9685347676,-0.8853178024,0.1116673201
214,1.55965414541e+18,-0.3430550694,0.2083814442,-1.859292388
215,1.55965414566e+18,-0.2761420906,0.6503287554,1.873369694
216,1.55965414591e+18,-0.8217808604,1.950448036,1.634836555
217,1.55965414616e+18,0.7313874364,-0.253652513,-1.21944499
218,1.55965414641e+18,-0.4930725992,-0.01094279438,-2.502554417
219,1.55965414666e+18,-1.881099939,2.699934959,0.6184071898
220,1.55965414691e+18,-0.3008669913,1.692600489,3.328813314
221,1.55965414716e+18,0.3807528019,0.2967711985,-0.8459427357
222,1.55965414741e+18,-0.6191281676,-2.376355886,-3.16141367
223,1.55965414766e+18,-0.1350701302,-0.2577669621,-0.5428396463
224,1.55965414791e+18,-0.02880700678,1.85250926,4.233888626
225,1.55965414816e+18,1.160201669,-0.07049930841,0.1120976061
226,1.55965414841e+18,-0.8588958383,-3.304518461,-3.03930378
227,1.55965414866e+18,-0.7333474159,-0.6284023523,-1.08962667
228,1.55965414891e+18,0.4848347604,1.033197761,3.111426353
229,1.55965414915e+18,-0.3103993535,2.126012325,0.3786126375
230,1.5596541494e+18,0.6476045251,-2.259152889,-1.628748417
231,1.55965414965e+18,-0.361420691,-0.6128541231,-2.52815485
232,1.5596541499e+18,-0.4371209145,0.01015260629,0.4186942577
233,1.55965415015e+18,0.0134159727,0.4582818747,0.9027189016
234,1.5596541504e+18,-1.33563292,1.687867761,0.5499846935
235,1.55965415065e+18,0.001322273165,1.985678911,1.178778052
236,1.5596541509e+18,-0.4727015495,-0.8751259446,-3.253498793
237,1.55965415115e+18,-0.5096996427,-0.4376992881,-1.376642704
238,1.5596541514e+18,-1.431713939,0.4550735354,1.398655415
239,1.55965415165e+18,-1.541683078,3.024558067,1.200105906
240,1.5596541519e+18,-0.8375662565,1.807812452,0.5165900588
