"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
7.307913050E1	8.360264740E0	-1.115210907E1	-7.078779602E-1
7.348061950E1	4.463867340E0	-4.474046173E0	-1.672023010E0
7.388215254E1	9.197922821E0	-9.536818085E0	1.513352966E-1
7.428373354E1	8.757837982E0	-8.522527313E0	1.691482544E-1
7.468529900E1	6.443201294E0	-7.705975342E0	-1.946851501E0
7.508685000E1	1.045695465E1	-1.077519287E1	1.310973816E0
7.548840000E1	8.410111084E0	-7.430398407E0	-1.832189941E0
7.588991112E1	5.833369446E0	-7.899073792E0	8.232879639E-2
7.629146113E1	7.134164429E0	-9.797276459E0	-9.081614685E-1
7.669297079E1	8.583899689E0	-1.098430801E1	-5.053491211E-1
7.709449079E1	3.983965302E0	-7.633376312E0	2.493814087E-1
7.749604079E1	7.449408875E0	-9.543853455E0	-3.454815674E-1
7.789756979E1	7.621251526E0	-9.873617706E0	7.334747314E-3
7.829911979E1	4.462669830E0	-1.130943192E1	-3.427871704E-2
7.870061688E1	7.259004822E0	-6.209387512E0	-8.753796387E-1
7.910216687E1	7.279212799E0	-9.684111786E0	6.959028625E-1
7.950374788E1	4.201762390E0	-1.041159897E1	3.987707520E-1
7.990534187E1	4.808450775E0	-6.251450043E0	-7.289840698E-2
8.030689187E1	7.394024048E0	-8.279283142E0	3.354524231E-1
8.070843000E1	8.279432831E0	-2.789149933E0	-3.196003876E0
8.110995000E1	5.162763977E0	-7.827971649E0	1.487905884E-1
8.151150000E1	8.677754517E0	-9.280700684E0	2.242337036E-1
8.191311892E1	5.906118164E0	-8.376580811E0	-1.704954529E0
8.231469892E1	9.420060883E0	-9.678273926E0	-1.104702759E-1
8.271629629E1	8.828940125E0	-8.325836334E0	4.213737488E-1
8.311787729E1	5.718707886E0	-8.457562408E0	-5.409750366E-1
8.351942729E1	7.764204254E0	-1.002360580E1	-8.336164856E-1
8.392100900E1	8.983269196E0	-1.089644073E1	-6.580316162E-1
8.432249800E1	3.554807739E0	-7.475754089E0	-1.071771240E-1
8.472401462E1	5.586083679E0	-7.985294495E0	5.463638306E-2
8.512556462E1	8.123606873E0	-1.021939865E1	-2.656974792E-1
8.552705362E1	2.806214447E0	-1.002151016E1	3.143463135E-2
8.592858142E1	7.147636414E0	-6.694828033E0	-9.463320923E-1
8.633010142E1	6.857090607E0	-9.341324615E0	7.232958984E-1
8.673161363E1	5.043462067E0	-1.258268417E1	-3.382965088E-2
8.713316362E1	7.407346344E0	-6.061944122E0	-8.327183533E-1
8.753471362E1	6.133495331E0	-9.488318939E0	1.061891785E0
8.793630879E1	4.584217072E0	-1.006057892E1	9.175918579E-2
8.833785879E1	6.050717468E0	-5.298681335E0	7.167095947E-1
8.873933229E1	5.695955200E0	-9.260642395E0	9.475296021E-2
8.914085229E1	6.686894531E0	-4.534071350E0	-1.668131104E0
8.954237229E1	5.310806122E0	-7.144492950E0	5.399272156E-1
8.994382517E1	7.825576630E0	-6.417005768E0	-2.368075562E-1
9.034531417E1	3.317551117E0	-4.414919128E0	-1.588197327E0
9.074681300E1	5.457201691E0	-6.479126587E0	-2.619552612E-2
9.114830300E1	9.505682831E0	-7.097191315E0	-8.213420105E-1
9.154976100E1	4.136348419E0	-1.224498642E1	3.272195435E-1
9.195123929E1	7.528743896E0	-7.940088501E0	-2.649490356E-1
9.235266729E1	6.995852051E0	-9.949958954E0	1.375789032E0
9.275411429E1	6.319708099E0	-8.948840790E0	1.730401611E-1
9.315557229E1	9.111402740E0	-9.951156464E0	2.275268555E-1
9.355703129E1	5.328918457E0	-8.124954071E0	6.164181519E-1
9.395850050E1	5.295537872E0	-7.636669464E0	2.070195007E-1
9.435998950E1	8.531957703E0	-9.494605865E0	4.041595459E-3
9.476152204E1	4.484973450E0	-1.127021347E1	2.847079468E-1
9.516301104E1	5.940995636E0	-6.767427063E0	-1.141226807E0
9.556450004E1	7.385940857E0	-8.925489349E0	-4.194277954E-1
9.596596237E1	8.177943878E0	-3.550317078E0	-3.228486328E0
9.636742037E1	5.629493408E0	-7.545209656E0	-6.548881531E-1
9.676893962E1	7.485334167E0	-8.344697113E0	5.625302124E-1
9.717039862E1	7.897427216E0	-6.830595703E0	-1.701511688E0
9.757188762E1	9.250313873E0	-1.032373169E1	2.313738556E0
9.797334562E1	8.128396912E0	-6.708599396E0	7.896080017E-1
9.837483462E1	7.977061615E0	-1.008213409E1	-3.397933960E-1
9.877629279E1	8.075407104E0	-1.217987183E1	2.133962402E0
9.917778179E1	7.396718445E0	-8.104746094E0	-9.656419373E-1
9.957930179E1	6.232738953E0	-7.318131866E0	-7.704478455E-1
9.998082275E1	7.130721588E0	-9.877509613E0	-4.478686523E-1
1.003823727E2	9.102720795E0	-9.807155914E0	-4.185296631E-1
1.007839036E2	3.628604279E0	-7.558981018E0	-1.481918335E-1
1.011854226E2	5.691763916E0	-8.344697113E0	-1.140628052E-1
1.015869736E2	7.891589355E0	-1.169248535E1	6.182144165E-1
1.019884630E2	4.383035431E0	-8.321195984E0	8.307723999E-1
1.023899830E2	7.979456635E0	-8.985364838E0	-7.562274170E-1
1.027914506E2	8.288713531E0	-1.004755600E1	-2.453398132E-1
1.031929396E2	5.326224060E0	-2.994822235E0	3.789519653E0
1.035944596E2	2.934048615E0	3.497926025E0	6.969357147E0
1.039959460E2	5.072651367E0	3.244802399E0	1.147783173E1
1.043974660E2	1.782792664E0	3.898642731E0	5.582042084E0
1.047989672E2	1.111214218E1	-1.028226791E1	2.242636414E0
1.052004872E2	6.623276825E0	-6.627468109E0	-9.351054382E-1
1.056020072E2	6.514453125E0	-8.678802338E0	-6.149212646E-1
