"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.688249221E1,-8.485605940E-5,-1.001886092E-3,2.771690488E-4
6.713206521E1,6.883474998E-4,3.241235390E-4,5.277246237E-5
6.738163821E1,2.679557540E-3,-2.913418692E-3,-2.315230668E-3
6.763118021E1,-3.246553242E-4,1.790495589E-4,4.116445780E-7
6.788075521E1,-2.025646623E-3,9.117750451E-4,3.841388971E-4
6.813032821E1,2.892459743E-4,9.547602385E-4,4.625217989E-4
6.837990021E1,-1.167614013E-3,1.333244145E-4,-5.003511906E-4
6.862944321E1,-5.636382848E-4,-8.500795811E-4,-4.052920267E-4
6.887900746E1,1.477194484E-3,2.289125696E-4,2.337916754E-3
6.912858046E1,1.185822766E-3,2.157529816E-4,2.367021516E-4
6.937815346E1,1.046014484E-3,-1.581495628E-3,6.773108616E-4
6.962769546E1,8.761780336E-4,-3.263363615E-4,-1.209412701E-3
6.987726088E1,2.342127264E-4,1.012461260E-3,2.969056368E-4
7.012683388E1,3.858469427E-4,5.323085934E-4,3.737322986E-4
7.037637587E1,9.479220025E-4,-4.006251693E-4,7.201684639E-4
7.062594888E1,-5.945330486E-4,5.157701671E-4,-1.134756021E-3
7.087550283E1,1.187974587E-3,-7.679406554E-5,-8.296770975E-4
7.112507583E1,-1.549745910E-3,2.803886309E-4,2.670474350E-4
7.137461783E1,-2.835867926E-4,1.161778346E-4,2.174004912E-4
7.162419083E1,-4.376173019E-4,-8.549131453E-4,1.126168296E-3
7.187378033E1,-1.262449659E-3,4.255603999E-4,-5.244212225E-4
7.212335333E1,5.106348544E-4,-5.180109292E-5,-1.051360741E-4
7.237289533E1,-1.795290038E-3,-1.801326871E-4,8.599720895E-4
7.262246833E1,-1.654509455E-3,2.107038163E-3,-4.247361794E-4
7.287201458E1,-5.328231491E-4,-2.941768616E-4,-2.951053903E-4
7.312155758E1,1.607055776E-3,-1.399463974E-3,-1.663723961E-4
7.337112958E1,-7.331268862E-4,2.206861973E-5,-1.262550242E-3
7.362070258E1,1.337840222E-4,7.148860022E-4,8.486788720E-4
7.387028596E1,-1.186352223E-3,-1.058351249E-3,1.300893724E-3
7.411982796E1,3.643520176E-4,-1.021936536E-3,-1.901136711E-4
7.436940096E1,3.277417272E-4,-1.288034022E-3,1.250044443E-3
7.461897396E1,-2.766456455E-4,6.330767646E-4,7.812306285E-5
7.486852696E1,-1.666519325E-3,1.847930253E-5,-1.188032329E-4
7.511806996E1,-4.700841382E-4,1.788994297E-3,1.080957241E-3
7.536764196E1,-2.933256328E-4,3.114137799E-4,-7.013510913E-4
7.561721496E1,-5.243229680E-4,7.329843938E-4,8.722441271E-4
7.586677896E1,1.065589953E-3,5.455855280E-4,-4.116985947E-4
7.611632096E1,-5.048462190E-4,-1.797117293E-4,7.435614243E-4
7.636589396E1,-5.617877468E-5,1.217492856E-3,8.386559784E-4
7.661546696E1,-2.293074504E-4,9.142654017E-4,-6.911922246E-4
7.686501537E1,-1.362794545E-3,-5.136802793E-5,3.696437925E-4
7.711458837E1,-1.986574382E-3,-5.079424009E-4,-2.958886325E-4
7.736416038E1,-1.251491252E-3,-4.391372204E-5,-1.165520400E-3
7.761373338E1,7.423991337E-5,-1.275836490E-3,-1.669296063E-3
7.786326387E1,-7.605445571E-4,1.783268526E-4,9.526107460E-4
7.811283687E1,-1.392369624E-3,7.733600214E-4,-8.842358366E-4
7.836240988E1,-4.035127349E-4,-1.079235226E-4,1.481596380E-3
7.861198288E1,-1.992001198E-4,-3.418363631E-4,-2.031866461E-4
7.886153271E1,1.344099175E-3,-3.449954093E-4,8.490197361E-4
7.911110571E1,-4.440164194E-4,3.523435444E-4,-1.503806561E-3
7.936067771E1,-7.538655773E-4,-1.463018358E-3,5.893697962E-4
7.961025071E1,-1.385751180E-3,2.994649112E-4,7.272288203E-4
7.985977233E1,1.295879483E-4,2.477029338E-4,-1.117106527E-3
8.010934533E1,-3.390647471E-4,1.143533736E-4,-2.550100908E-4
8.035891833E1,1.719804481E-3,1.149716787E-3,2.753278241E-4
8.060846033E1,2.819597721E-4,-7.019406185E-4,-1.146867871E-4
8.085804475E1,3.937445581E-4,9.945426136E-4,-3.252672032E-4
8.110761775E1,-8.210772648E-5,-1.289067790E-3,5.798703060E-4
8.135718975E1,-2.820705995E-4,1.627248712E-3,1.382725313E-4
8.160673275E1,-1.083435491E-4,-1.860754564E-4,8.087670431E-4
8.185629046E1,-1.864815131E-4,-1.110812649E-3,-7.259380072E-5
8.210586346E1,-3.321291879E-4,-1.109772362E-3,-5.478635430E-4
8.235543646E1,1.337578520E-3,-1.270273700E-3,5.713496357E-4
8.260497846E1,-1.482779626E-3,9.352844208E-4,-1.363087445E-3
8.285455721E1,-6.170826964E-4,-3.032609820E-4,-1.504179090E-5
8.310413021E1,-9.107189253E-4,-1.092350110E-3,5.099792033E-4
8.335370221E1,1.441511791E-3,-1.820167527E-4,-2.620164305E-3
8.360324521E1,-8.341493085E-4,-7.531754673E-4,1.356881112E-4
