"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.752281221E1,-5.643264771E-2,-7.140151978E-2,9.868827667E0
6.792463721E1,-7.484436035E-2,-6.197113037E-2,9.863588562E0
6.832646421E1,-8.128097534E-2,-5.628295898E-2,9.864037628E0
6.872825821E1,-5.613327026E-2,-5.239105225E-2,9.868378601E0
6.913007546E1,-8.442443848E-2,-5.643264771E-2,9.883347473E0
6.953190046E1,-7.634124756E-2,-5.703140259E-2,9.887538757E0
6.993378646E1,-8.158035278E-2,-5.074447632E-2,9.859097900E0
7.033560387E1,-6.676116943E-2,-6.556365967E-2,9.884994049E0
7.073745888E1,-7.095245361E-2,-6.616241455E-2,9.868677979E0
7.113923583E1,-6.391708374E-2,-5.658233643E-2,9.874515839E0
7.154109083E1,-7.679031372E-2,-5.523513794E-2,9.874964905E0
7.194291583E1,-7.259902954E-2,-6.586303711E-2,9.865085449E0
7.234466633E1,-6.780899048E-2,-5.224136353E-2,9.885143738E0
7.274649133E1,-7.768844604E-2,-5.104385376E-2,9.877509613E0
7.314829058E1,-6.960525513E-2,-3.996688843E-2,9.863139496E0
7.355008458E1,-5.209167480E-2,-5.298980713E-2,9.849667511E0
7.395178758E1,-5.972579956E-2,-4.370910645E-2,9.840686188E0
7.435362296E1,-8.187973022E-2,-3.263214111E-2,9.849517822E0
7.475538696E1,-5.538482666E-2,-4.101470947E-2,9.864935760E0
7.515722296E1,-6.406677246E-2,-6.481521606E-2,9.854906616E0
7.555907896E1,-7.394622803E-2,-4.400848389E-2,9.871222687E0
7.596093396E1,-7.259902954E-2,-6.406677246E-2,9.880353699E0
7.636278096E1,-6.855743408E-2,-5.613327026E-2,9.848619690E0
7.676463596E1,-6.242019653E-2,-6.062393188E-2,9.864486694E0
7.716643738E1,-8.173004150E-2,-6.661148071E-2,9.880952454E0
7.756826238E1,-7.813751221E-2,-6.062393188E-2,9.856104126E0
7.797008638E1,-7.364685059E-2,-5.538482666E-2,9.868528290E0
7.837183887E1,-7.694000244E-2,-5.942642212E-2,9.867031403E0
7.877369488E1,-7.454498291E-2,-4.161346436E-2,9.861492920E0
7.917552771E1,-6.975494385E-2,-4.805007935E-2,9.863289185E0
7.957735271E1,-6.436614990E-2,-6.227050781E-2,9.867031403E0
7.997917771E1,-6.646179199E-2,-3.727249146E-2,9.880503387E0
8.038101233E1,-7.544311523E-2,-4.176315308E-2,9.867630157E0
8.078283733E1,-7.155120850E-2,-5.807922363E-2,9.876012726E0
8.118467375E1,-6.735992432E-2,-3.173400879E-2,9.885892181E0
8.158649875E1,-9.011260986E-2,-5.912704468E-2,9.877509613E0
8.198834046E1,-6.541397095E-2,-5.523513794E-2,9.853409729E0
8.239019546E1,-7.005432129E-2,-3.083587646E-2,9.887838135E0
