,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
101,1.55965330047e+18,52.09843946,5.132980943,1.243190765,3.650000095,29.8828125,10.0,10.0,biking
102,1.55965330147e+18,52.09848766,5.133006843,0.9356956482,3.650000095,23.90625,10.0,10.0,biking
103,1.55965330247e+18,52.09853443,5.133029055,0.6654930115,3.730000019,21.09375,10.0,10.0,biking
104,1.55965330347e+18,52.09859327,5.133053362,0.04781723022,4.010000229,20.0390625,10.0,10.0,biking
105,1.55965330447e+18,52.09863153,5.133072389,-0.07193374634,3.730000019,19.3359375,10.0,10.0,biking
106,1.55965330547e+18,52.09865974,5.133088231,0.001735687256,2.900000095,20.7421875,10.0,10.0,biking
107,1.55965330647e+18,52.09870999,5.133137852,-0.3533668518,2.900000095,24.2578125,10.0,10.0,biking
108,1.55965330747e+18,52.09874381,5.13316392,-0.3010597229,4.050000191,24.2578125,10.0,10.0,biking
109,1.55965330847e+18,52.09877692,5.133180181,0.2243309021,4.050000191,16.171875,10.0,10.0,biking
110,1.55965330947e+18,52.09880617,5.133201974,0.2177391052,3.25,19.6875,10.0,10.0,biking
111,1.55965331047e+18,52.09883681,5.133216726,0.267665863,3.25,18.984375,10.0,10.0,biking
112,1.55965331147e+18,52.09887842,5.133234244,0.417263031,3.299999952,20.0390625,10.0,10.0,biking
113,1.55965331247e+18,52.09891136,5.133260814,0.6530418396,3.839999914,24.609375,10.0,10.0,biking
114,1.55965331347e+18,52.09894246,5.133284619,0.6828269958,3.839999914,23.203125,10.0,10.0,biking
115,1.55965331447e+18,52.09897326,5.133305322,0.8427391052,3.670000076,21.4453125,10.0,10.0,biking
116,1.55965331547e+18,52.09900851,5.133319823,1.217922211,3.670000076,17.578125,10.0,10.0,biking
117,1.55965331647e+18,52.09907167,5.133360475,0.4216575623,4.170000076,18.28125,10.0,10.0,biking
118,1.55965331747e+18,52.09912896,5.13339241,0.7252464294,3.890000105,8.7890625,10.0,10.0,biking
119,1.55965331847e+18,52.09913751,5.133396769,1.455043793,3.890000105,10.8984375,10.0,10.0,biking
120,1.55965331947e+18,52.09914346,5.133400289,1.660121918,0.9900000095,15.8203125,10.0,10.0,biking
121,1.55965332047e+18,52.09915129,5.133419819,2.299098969,0.9900000095,15.8203125,10.0,10.0,biking
122,1.55965332147e+18,52.09918134,5.133427531,1.893520355,1.74000001,20.7421875,10.0,10.0,biking
123,1.55965332247e+18,52.09921299,5.133445133,1.402370453,3.029999971,23.203125,10.0,10.0,biking
124,1.55965332347e+18,52.0992637,5.133458376,1.276576996,3.029999971,14.4140625,10.0,10.0,biking
125,1.55965332447e+18,52.09929043,5.133469524,1.256069183,2.799999952,16.5234375,10.0,10.0,biking
126,1.55965332547e+18,52.09932518,5.133480923,1.373683929,2.799999952,21.09375,10.0,10.0,biking
127,1.55965332647e+18,52.09935351,5.133496765,0.9319725037,2.960000038,17.578125,10.0,10.0,biking
128,1.55965332747e+18,52.09939215,5.133518642,1.052150726,3.299999952,13.7109375,10.0,10.0,biking
129,1.55965332847e+18,52.09942237,5.133531801,1.216701508,3.309999943,13.7109375,10.0,10.0,biking
130,1.55965332947e+18,52.09945803,5.13358159,1.181179047,3.299999952,17.9296875,10.0,10.0,biking
131,1.55965333047e+18,52.09947869,5.133600365,1.040431976,2.400000095,20.7421875,10.0,10.0,biking
132,1.55965333147e+18,52.0995074,5.133620482,1.12002182,2.400000095,20.0390625,10.0,10.0,biking
133,1.55965333247e+18,52.09953598,5.133633222,1.375392914,2.769999981,13.7109375,10.0,10.0,biking
134,1.55965333347e+18,52.09956612,5.133647388,1.361843109,2.849999905,4.21875,10.0,10.0,biking
135,1.55965333447e+18,52.0995983,5.13366038,1.644985199,2.849999905,10.546875,10.0,10.0,biking
136,1.55965333547e+18,52.09961829,5.133674042,1.906703949,2.849999905,19.3359375,10.0,10.0,biking
137,1.55965333647e+18,52.09964294,5.133686112,2.037136078,2.25,12.65625,10.0,10.0,biking
138,1.55965333747e+18,52.09967131,5.133694159,2.384731293,2.019999981,9.4921875,10.0,10.0,biking
139,1.55965333847e+18,52.09971452,5.133703128,2.502285004,3.069999933,6.6796875,10.0,10.0,biking
140,1.55965333947e+18,52.09976942,5.133724334,2.146022797,3.069999933,12.3046875,10.0,10.0,biking
141,1.55965334047e+18,52.09982239,5.13375761,2.390895844,4.050000191,22.5,10.0,10.0,biking
142,1.55965334147e+18,52.09987138,5.133791221,2.730556488,4.309999943,19.6875,10.0,10.0,biking
143,1.55965334247e+18,52.0999099,5.133810667,2.808803558,3.789999962,13.0078125,10.0,10.0,biking
144,1.55965334347e+18,52.09996392,5.13381335,2.368251801,3.789999962,10.8984375,10.0,10.0,biking
145,1.55965334447e+18,52.10001212,5.133823911,2.454128265,3.650000095,16.5234375,10.0,10.0,biking
146,1.55965334547e+18,52.10005558,5.133842183,2.368495941,3.359999895,13.359375,10.0,10.0,biking
147,1.55965334647e+18,52.10010289,5.133877806,2.2253685,3.349999905,25.6640625,10.0,10.0,biking
148,1.55965334747e+18,52.10013667,5.133906892,2.308132172,3.349999905,30.5859375,10.0,10.0,biking
149,1.55965334847e+18,52.10022883,5.133938156,2.556240082,3.349999905,29.1796875,10.0,10.0,biking
150,1.55965334947e+18,52.10024635,5.13394922,2.669155121,1.889999986,29.1796875,10.0,10.0,biking
151,1.55965335047e+18,52.10027535,5.133951651,1.412075043,1.879999995,7.3828125,10.0,10.0,biking
152,1.55965335147e+18,52.10029932,5.133951735,1.347682953,1.889999986,12.3046875,5.0,5.0,biking
153,1.55965335247e+18,52.10032837,5.133957099,1.893215179,1.730000019,14.0625,5.0,5.0,biking
154,1.55965335347e+18,52.10034831,5.13396523,1.926357269,1.730000019,24.609375,5.0,5.0,biking
155,1.55965335447e+18,52.10036319,5.1339773,2.050136566,1.25999999,39.0234375,10.0,10.0,biking
156,1.55965335547e+18,52.10037631,5.134021472,2.223415375,1.25999999,71.71875,5.0,5.0,biking
157,1.55965335647e+18,52.10038335,5.134083331,2.213832855,2.970000029,87.890625,5.0,5.0,biking
158,1.55965335747e+18,52.10038335,5.134143177,2.291225433,3.079999924,96.6796875,5.0,5.0,biking
159,1.55965335847e+18,52.10038075,5.134201935,2.51052475,3.079999924,99.140625,5.0,5.0,biking
160,1.55965335947e+18,52.10037514,5.134266308,2.640102386,3.079999924,103.7109375,10.0,10.0,biking
161,1.55965336047e+18,52.1003668,5.134332022,2.561367035,3.359999895,108.28125,10.0,10.0,biking
162,1.55965336147e+18,52.10036097,5.134407459,2.657436371,3.630000114,110.390625,10.0,10.0,biking
163,1.55965336247e+18,52.10035678,5.134470323,2.51052475,3.190000057,112.8515625,10.0,10.0,biking
164,1.55965336347e+18,52.10034802,5.134520279,2.462368011,3.190000057,123.75,10.0,10.0,biking
165,1.55965336447e+18,52.10032749,5.134572582,2.597743988,3.190000057,133.59375,10.0,10.0,biking
166,1.55965336547e+18,52.10030188,5.134626981,2.180080414,4.019999981,133.9453125,10.0,10.0,biking
167,1.55965336647e+18,52.10028721,5.134663191,1.839809418,4.019999981,133.9453125,5.0,5.0,biking
168,1.55965336747e+18,52.10026533,5.134700406,2.175685883,2.730000019,135.703125,5.0,5.0,biking
169,1.55965336847e+18,52.10023897,5.134736281,2.20217514,2.859999895,136.40625,10.0,10.0,biking
170,1.55965336947e+18,52.10021848,5.134763857,2.419460297,2.730000019,125.15625,10.0,10.0,biking
171,1.55965337047e+18,52.10020565,5.134793865,2.503932953,2.410000086,118.828125,10.0,10.0,biking
172,1.55965337147e+18,52.10018675,5.134867709,2.37771225,2.410000086,117.421875,5.0,5.0,biking
173,1.55965337247e+18,52.10017074,5.134912049,2.434780121,3.549999952,123.75,10.0,10.0,biking
174,1.55965337347e+18,52.10016789,5.134962173,2.522975922,3.549999952,120.234375,5.0,5.0,biking
175,1.55965337447e+18,52.10016299,5.134995701,2.423305511,2.619999886,122.6953125,5.0,5.0,biking
176,1.55965337547e+18,52.10015314,5.135027217,2.526699066,2.519999981,124.8046875,10.0,10.0,biking
177,1.55965337647e+18,52.10013265,5.135065606,2.047451019,2.519999981,130.078125,5.0,5.0,biking
178,1.55965337747e+18,52.10010771,5.135111958,1.993373871,2.920000076,130.78125,5.0,5.0,biking
179,1.55965337847e+18,52.10009418,5.135156969,1.917263031,3.140000105,112.1484375,5.0,5.0,biking
180,1.55965337947e+18,52.10008592,5.135191334,1.749477386,2.920000076,122.6953125,5.0,5.0,biking
181,1.55965338047e+18,52.10007485,5.135233076,1.82101059,2.680000067,116.015625,5.0,5.0,biking
182,1.55965338147e+18,52.10006505,5.135272136,1.843105316,2.680000067,113.203125,10.0,10.0,biking
183,1.55965338247e+18,52.10008043,5.135359308,1.685939789,2.480000019,91.0546875,5.0,5.0,biking
184,1.55965338347e+18,52.10008898,5.135375485,1.425930023,2.480000019,54.84375,5.0,5.0,biking
185,1.55965338447e+18,52.1001005,5.135382945,1.463222504,1.309999943,20.390625,10.0,10.0,biking
186,1.55965338547e+18,52.10014195,5.13542234,1.408840179,1.309999943,29.1796875,5.0,5.0,biking
187,1.55965338647e+18,52.10016345,5.135440947,1.370754242,2.480000019,21.4453125,5.0,5.0,biking
188,1.55965338747e+18,52.10018051,5.135464501,1.19234848,2.180000067,25.6640625,5.0,5.0,biking
189,1.55965338847e+18,52.10019987,5.135490568,0.8602561951,2.440000057,35.15625,5.0,5.0,biking
190,1.55965338947e+18,52.10022204,5.135526862,0.784450531,2.440000057,40.78125,10.0,10.0,biking
191,1.55965339047e+18,52.10024802,5.135574639,0.6375999451,2.670000076,28.4765625,5.0,5.0,biking
192,1.55965339147e+18,52.10027066,5.135596767,0.6639060974,2.670000076,22.5,10.0,10.0,biking
193,1.55965339247e+18,52.10027334,5.135639096,0.4940452576,2.299999952,27.421875,5.0,5.0,biking
194,1.55965339347e+18,52.10029953,5.135661475,0.5457420349,3.019999981,28.125,5.0,5.0,biking
195,1.55965339447e+18,52.10033352,5.135699362,0.5916404724,3.019999981,30.234375,5.0,5.0,biking
196,1.55965339547e+18,52.1003608,5.135727776,0.632106781,3.160000086,31.2890625,10.0,10.0,biking
197,1.55965339647e+18,52.10041453,5.135799693,0.7524681091,3.160000086,13.7109375,5.0,5.0,biking
198,1.55965339747e+18,52.10044374,5.135819642,1.209621429,3.089999914,18.6328125,5.0,5.0,biking
199,1.55965339847e+18,52.10047002,5.135837579,1.243923187,3.089999914,21.796875,5.0,5.0,biking
200,1.55965339947e+18,52.10047744,5.135908909,1.503200531,3.089999914,59.4140625,5.0,5.0,biking
201,1.55965340047e+18,52.10048628,5.135934558,1.531154633,1.909999967,59.4140625,5.0,5.0,biking
202,1.55965340147e+18,52.10051889,5.135988453,1.082546234,1.909999967,28.828125,5.0,5.0,biking
203,1.55965340247e+18,52.10053833,5.136004798,1.11623764,2.319999933,29.1796875,5.0,5.0,biking
204,1.55965340347e+18,52.10056251,5.136028435,1.023769379,2.690000057,40.4296875,5.0,5.0,biking
205,1.55965340447e+18,52.1005833,5.136051402,0.8490867615,2.690000057,37.265625,5.0,5.0,biking
206,1.55965340547e+18,52.10059587,5.13607353,0.5349998474,2.690000057,39.7265625,5.0,5.0,biking
