,acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),mag_X (muT),mag_Y (muT),mag_Z (muT),loc_Latitude (degree),loc_Longitude (degree),loc_Height (m),loc_Velocity (m/s),loc_Direction (degree),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (degree),labelNothing,labelWalking,labelClimbingstairs,labelBiking,labelTrain
2019-06-04 13:00:15.000,,,,,-0.001717062667,-0.001140737906,-0.000111755915,-31.80514526,-1.239624023,-24.85119629,,,,,,,,1,0,0,0,0
2019-06-04 13:00:15.250,-0.061522064209999998,-0.028291168210000005,9.8573016360000008,,0.0006212377921,-0.001303634606,-0.000104740262,-31.88383484,-0.9201049805,-24.77087402,,,,,,,,1,0,0,0,0
2019-06-04 13:00:15.500,-0.067509613039999999,-0.051343231199999999,9.8498171999999986,1010.099182,5.214707926e-05,0.0002736458555,0.0005873003975,-31.91326904,-1.332565308,-24.78546143,,,,,,,,1,0,0,0,0
2019-06-04 13:00:15.750,,,,,0.0008539245464,0.0005374532193,-8.88351351e-05,-31.75112915,-1.184494019,-24.84753418,,,,,,,,1,0,0,0,0
2019-06-04 13:00:16.000,-0.052241363530000001,-0.053289184569999995,9.8649357599999998,,-0.001447261311,0.0002610934898,-0.0003044568002,-32.05464172,-1.236572266,-24.67755127,,,,,,,,1,0,0,0,0
2019-06-04 13:00:16.250,-0.067210235600000001,-0.03622467041,9.8733183289999999,,-0.001765633933,0.001374373212,-5.199294537e-05,-31.87506104,-1.353942871,-24.75769043,,,,,,,,1,0,0,0,0
2019-06-04 13:00:16.500,,,,1010.094757,0.001691455953,0.0002781189978,0.0004310496151,-31.69261169,-1.315994263,-24.8067627,,,,,,,,1,0,0,0,0
2019-06-04 13:00:16.750,-0.066012725829999994,-0.048648834230000007,9.859546967,,0.0009716609493,0.0004053711891,0.000347959809,-32.292099,-1.099533081,-24.66442871,,,,,,,,1,0,0,0,0
2019-06-04 13:00:17.000,,,,,0.001878169831,0.001352712512,-0.000576402992,-31.9382019,-1.081100464,-24.47912598,,,,,,,,1,0,0,0,0
2019-06-04 13:00:17.250,-0.063168640139999996,-0.035326538089999998,9.8653848269999997,,0.001908751205,0.0001074019819,-0.0002303356305,-31.88934326,-1.284164429,-24.77819824,,,,,,,,1,0,0,0,0
2019-06-04 13:00:17.500,-0.044307861330000003,-0.052540740969999999,9.8647860720000011,1010.088043,-0.000637082383,0.0008181035519,0.0002521285787,-31.94685364,-1.359527588,-24.95709229,,,,,,,,1,0,0,0,0
2019-06-04 13:00:17.750,,,,,-0.0008452567272,0.0008635539562,-0.001690701582,-31.94174194,-1.51524353,-24.68994141,,,,,,,,1,0,0,0,0
2019-06-04 13:00:18.000,-0.070503387449999996,-0.050594787599999996,9.8637382510000009,,0.0003297338262,3.722961992e-05,-0.0009571127594,-31.88534546,-1.175354004,-24.65533447,,,,,,,,1,0,0,0,0
2019-06-04 13:00:18.250,-0.056732025149999997,-0.040865020750000002,9.8808027650000003,,-0.001112053171,0.0003235656768,8.610356599e-05,-31.5488739,-1.277359009,-24.82647705,,,,,,,,1,0,0,0,0
2019-06-04 13:00:18.500,,,,,0.0004094210453,-0.0007708752528,0.0007480178028,-31.91769409,-1.404190063,-24.86437988,,,,,,,,1,0,0,0,0
2019-06-04 13:00:18.750,-0.06122268677,-0.050145721439999992,9.8670314030000004,1010.082779,0.0002027465962,0.001708270982,-0.0003723381087,-31.77726746,-0.9930877686,-24.8885498,,,,,,,,1,0,0,0,0
2019-06-04 13:00:19.000,,,,,0.0007937629707,0.0006468398497,0.0002656523138,-32.09545898,-1.385574341,-24.63409424,,,,,,,,1,0,0,0,0
2019-06-04 13:00:19.250,-0.071251831050000006,-0.048798522949999999,9.8649357599999998,,-0.0006133364514,-0.0001340815797,0.0005731396377,-31.88127136,-0.9353790283,-24.76586914,,,,,,,,1,0,0,0,0
2019-06-04 13:00:19.500,-0.060623931879999989,-0.041912841800000003,9.8676301570000007,,-0.001897318289,0.000304906629,-0.0009583309293,-32.11627197,-1.008529663,-24.87591553,,,,,,,,1,0,0,0,0
2019-06-04 13:00:19.750,,,,1010.082779,5.389284343e-05,-0.0006094835699,0.001156802289,-31.84616089,-1.188064575,-24.70153809,,,,,,,,1,0,0,0,0
2019-06-04 13:00:20.000,-0.053438873290000001,-0.049696655270000001,9.8737673949999998,,-0.0001953314058,-0.000983635895,-0.0001202747226,-32.06463623,-1.268173218,-24.77905273,,,,,,,,1,0,0,0,0
2019-06-04 13:00:20.250,,,,,-0.0002245609649,0.0007814997807,-8.667074144e-05,-31.63537598,-1.333648682,-24.92120361,,,,,,,,1,0,0,0,0
2019-06-04 13:00:20.500,-0.068258056639999995,-0.054187316889999997,9.8513140870000004,,-0.001473181881,0.0005022445694,0.001228054985,-31.68266296,-1.216705322,-24.72332764,,,,,,,,1,0,0,0,0
2019-06-04 13:00:20.750,-0.076041870120000007,-0.063468017579999994,9.8632891849999993,1010.083618,-0.0007294663228,-0.001447383314,9.741913527e-05,-31.63574219,-1.485824585,-24.715271,,,,,,,,1,0,0,0,0
2019-06-04 13:00:21.000,,,,,-0.0004780613817,0.0004897341132,-0.0003563286737,-31.6254425,-1.484130859,-24.8236084,,,,,,,,1,0,0,0,0
2019-06-04 13:00:21.250,-0.071551208499999991,-0.042511596680000006,9.8803536990000005,,-0.001972462516,-0.0003453111276,-0.001232834533,-31.85926819,-1.361526489,-24.73583984,,,,,,,,1,0,0,0,0
2019-06-04 13:00:21.500,-0.055833892820000008,-0.043110351560000003,9.8531103519999998,,-0.0003654123284,-0.0001150164753,0.0005343090743,-32.09512329,-1.442092896,-24.76885986,,,,,,,,1,0,0,0,0
2019-06-04 13:00:21.750,,,,1010.084,0.001234256197,-0.0009702360258,0.000937785022,-32.01010132,-1.479309082,-24.80444336,52.33454016,4.867493498,-3.120345592,-1.0,-1.0,65.0,65.0,1,0,0,0,0
2019-06-04 13:00:22.000,-0.045505371090000003,-0.055833892820000008,9.8683786009999999,,-0.001317382324,-0.001054330729,0.0008069835603,-32.30224609,-1.366455078,-24.7779541,,,,,,,,1,0,0,0,0
2019-06-04 13:00:22.250,,,,,-0.0001346319914,0.0006008865312,-0.0005900515243,-32.28773499,-1.100616455,-24.88214111,,,,,,,,1,0,0,0,0
2019-06-04 13:00:22.500,-0.071401519779999992,-0.024399261469999999,9.8629898069999999,,0.0004603406414,0.0003117881715,-0.0001046191901,-32.08004761,-1.308013916,-24.92840576,,,,,,,,1,0,0,0,0
2019-06-04 13:00:22.750,-0.07559280396000001,-0.04490661621,9.8486196899999996,1010.084381,0.001424329355,-0.000146442093,-0.001147554256,-32.13999939,-1.589263916,-24.77001953,,,,,,,,1,0,0,0,0
2019-06-04 13:00:23.000,,,,,-0.000846453011,0.0003519626334,0.001160123385,-32.35307312,-1.328414917,-24.73980713,,,,,,,,1,0,0,0,0
2019-06-04 13:00:23.250,-0.069754943850000001,-0.059426422120000003,9.8861915590000002,,0.0002881097607,0.0004490958527,-0.000252625905,-31.86329651,-1.263031006,-24.78393555,,,,,,,,1,0,0,0,0
2019-06-04 13:00:23.500,-0.07484436035,-0.071401519779999992,9.8525115970000012,,0.0008821021765,0.001170357689,0.001145469956,-31.75140381,-1.114990234,-24.96459961,,,,,,,,1,0,0,0,0
2019-06-04 13:00:23.750,,,,1010.08873,-0.00106594665,0.0005009993911,-0.0002182452008,-31.91903687,-1.354248047,-24.95898438,,,,,,,,1,0,0,0,0
2019-06-04 13:00:24.000,-0.080532531739999996,-0.043260040280000002,9.8728692630000001,,0.001001520548,-0.001043161377,-0.0001355744898,-31.88299561,-1.034988403,-24.94592285,,,,,,,,1,0,0,0,0
2019-06-04 13:00:24.250,,,,,-0.001050844789,-0.0002152174711,-0.0001512086019,-31.67631531,-1.09463501,-25.03112793,,,,,,,,1,0,0,0,0
2019-06-04 13:00:24.500,-0.077987823489999997,-0.0462538147,9.8716717529999993,,-0.001829714514,0.0006848257035,-0.0003778878599,-32.32092285,-0.8670196533,-24.65527344,,,,,,,,1,0,0,0,0
2019-06-04 13:00:24.750,-0.059576110839999995,-0.030835876460000002,9.854906616000001,,0.0009013274685,0.001260356978,2.077408135e-05,-32.98426819,-1.281860352,-24.75268555,,,,,,,,1,0,0,0,0
2019-06-04 13:00:25.000,,,,1010.089035,0.0007529114373,0.0002416064963,0.00131058041,-32.0080719,-1.092483521,-24.83312988,,,,,,,,1,0,0,0,0
2019-06-04 13:00:25.250,-0.063767395020000006,-0.035925292969999995,9.8749649050000006,,0.001898687333,-0.001772108488,0.0009424220771,-32.02833557,-1.101470947,-24.97406006,,,,,,,,1,0,0,0,0
2019-06-04 13:00:25.500,-0.057630157470000005,-0.055833892820000008,9.8543078610000006,,-0.0006076297723,-0.0004297569394,0.0001774830744,-32.28866577,-1.28352356,-25.2244873,,,,,,,,1,0,0,0,0
2019-06-04 13:00:25.750,,,,,0.0001022112556,-0.00148590561,-0.001327961683,-32.04083252,-1.459503174,-24.95501709,,,,,,,,1,0,0,0,0
2019-06-04 13:00:26.000,-0.063468017579999994,-0.03742218018,9.857601013,1010.089798,-0.0005543506704,-0.0001554181799,0.0005521457642,-31.9072876,-1.372634888,-24.8112793,,,,,,,,1,0,0,0,0
2019-06-04 13:00:26.250,,,,,0.0003464710899,-0.0009337924421,-0.001009118743,-31.92541504,-1.148910522,-24.95092773,,,,,,,,1,0,0,0,0
2019-06-04 13:00:26.500,-0.054187316889999997,-0.046403503419999999,9.8653848269999997,,-0.0006184014492,-0.0004035998136,-0.0002840030938,-31.91400146,-1.524795532,-24.99584961,,,,,,,,1,0,0,0,0
2019-06-04 13:00:26.750,-0.052540740969999999,-0.040415954589999997,9.8779586789999989,,0.0007368260995,-5.175173283e-05,-0.0005439789966,-32.12765503,-1.27835083,-24.82757568,,,,,,,,1,0,0,0,0
2019-06-04 13:00:27.000,,,,1010.09079,0.0006044879556,-5.644932389e-05,-0.001221647486,-31.80038452,-1.412689209,-24.86730957,,,,,,,,1,0,0,0,0
2019-06-04 13:00:27.250,-0.074245605470000003,-0.030835876460000002,9.8737673949999998,,0.0005655898713,-0.0003713881597,0.001097532921,-32.03727722,-1.39151001,-24.7755127,,,,,,,,1,0,0,0,0
2019-06-04 13:00:27.500,-0.052091674800000001,-0.035625915530000003,9.8650854490000004,,-0.004787325859,-0.000254121609,-0.0003395779058,-32.04476929,-1.454666138,-24.91516113,,,,,,,,1,0,0,0,0
2019-06-04 13:00:27.750,,,,,0.0005818055943,0.001806336455,0.001236665063,-31.93438721,-1.598892212,-24.86303711,,,,,,,,1,0,0,0,0
2019-06-04 13:00:28.000,-0.066312103270000006,-0.033230896000000003,9.8638879389999996,1010.09285,0.0002755513415,0.0009227395058,-0.001116253436,-31.63763428,-1.304763794,-24.98309326,,,,,,,,1,0,0,0,0
2019-06-04 13:00:28.250,,,,,-0.0002977764234,-0.0004419088364,-0.000699210912,-32.17001343,-1.625244141,-24.68481445,,,,,,,,1,0,0,0,0
2019-06-04 13:00:28.500,-0.050295410159999998,-0.042062530520000002,9.8670314030000004,,-0.001189467963,-0.001505205408,0.001239128411,-31.95062256,-1.555496216,-25.03381348,,,,,,,,1,0,0,0,0
2019-06-04 13:00:28.750,-0.071850585939999989,-0.045655059810000009,9.858798522999999,,-0.001424236689,0.001252613962,-0.0005450164899,-32.0453186,-1.328033447,-24.72979736,,,,,,,,1,0,0,0,0
2019-06-04 13:00:29.000,,,,1010.093384,0.000696270261,-0.0004865620285,-6.02947548e-05,-32.25570679,-1.162078857,-24.78259277,,,,,,,,1,0,0,0,0
2019-06-04 13:00:29.250,-0.067060546879999988,-0.047601013179999999,9.8659835820000001,,0.001187872142,-0.001137746498,0.0006020152941,-32.12289429,-1.307723999,-24.75622559,,,,,,,,1,0,0,0,0
2019-06-04 13:00:29.500,-0.058677978520000007,-0.055684204100000002,9.8842456050000003,,0.0020810063,-0.0002745008096,-0.0004663784057,-31.90797424,-1.380722046,-24.60479736,,,,,,,,1,0,0,0,0
2019-06-04 13:00:29.750,,,,,-0.002063834108,-2.895575017e-05,-0.001505013555,-31.74726868,-1.340255737,-24.73059082,,,,,,,,1,0,0,0,0
2019-06-04 13:00:30.000,-0.069156188960000003,-0.043858795169999999,9.874515838999999,1010.095367,0.002073879354,0.0003476925194,0.0001723729074,-31.99452209,-1.228729248,-25.00524902,,,,,,,,1,0,0,0,0
2019-06-04 13:00:30.250,,,,,-0.0008448776789,0.0004783887416,-0.0002310341224,-31.87910461,-1.315811157,-24.64196777,,,,,,,,1,0,0,0,0
2019-06-04 13:00:30.500,-0.061522064209999998,-0.040415954589999997,9.8655345150000002,,-0.0006858985871,0.00044436194,0.0007365439087,-31.96652222,-1.353256226,-24.746521,,,,,,,,1,0,0,0,0
2019-06-04 13:00:30.750,-0.061072998049999994,-0.030386810299999997,9.8755636599999992,,9.696977213e-05,-0.002862763591,-0.0003301268443,-32.17971802,-1.072433472,-24.82958984,,,,,,,,1,0,0,0,0
