,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-04 13:00:17.049999,-4.2349933626,-8.6476417665,4.1095333089,1021.796289,0.95461440694,0.03932141208,0.202515877727,-12.7349996565,28.1999998113,-25.1549992563,-0.12643843135,-6.97570177824,-2.56532836025,103.5,1,0,0,0,0.032850396843,-0.184387339918,0.180335580084,-0.143234046062,0.10456695187,0.279188895296,-0.0281005230315
2019-06-04 13:00:17.549999,-2.0329787791,-0.14245935079,3.44895276685,1021.778125,-1.2106585265,-0.061471360516,0.082664116513,-13.4266662593,15.679999826,-33.5866658956,0.171044925811,-5.67001284481,-4.61931493578,103.6,1,0,0,0,0.0105377667317,0.0809234546267,0.215597261737,-0.160031749179,0.0603688882323,0.272921959793,0.0751422770009
2019-06-04 13:00:18.049999,2.47355188267,-15.6697306096,12.0094164202,1021.8562988,0.582312451467,0.216961052733,-0.771692031011,-15.3074997661,14.7149995378,-34.5974998487,1.55514426538,-6.05296330237,0.663220763288,103.7,1,0,0,0,0.153066567935,-0.0976550762699,0.324255662618,-0.225739802329,0.190085073811,0.0280483647819,-0.0387624155508
2019-06-04 13:00:18.549999,-1.9975434306,-4.5364324219,2.97033738017,1021.7427244,0.98784540478,-0.54625403586,-0.01311953668,-5.752499789,27.8924996846,-29.4974989887,-1.62314366928,-9.80470964438,-6.54902088655,103.8,1,0,0,0,-0.0300283798384,-0.126871355115,0.164290766195,-0.140937066534,0.170850591934,0.365976702384,0.064351247967
2019-06-04 13:00:19.049999,0.5602602776,-7.41054650144,6.89285111411,1021.7449708,-2.66606536925,-0.576552937467,0.257208670122,-9.486666415,5.86000000059,-40.4999991511,-0.549650019967,-3.33655097743,-1.8120991388,103.9,1,0,0,0,-0.0056963826975,0.0901594946232,0.315808813969,-0.213912755048,0.169107462668,0.0590572637844,0.18450736366
2019-06-04 13:00:19.549999,-2.02364103745,-11.7812686198,6.8320631387,1021.8149416,1.96926156281,-1.23738694782,1.20720597508,-12.9974997046,31.4924991113,-24.53250003,4.4873213765,-11.2047921408,-1.70699030184,104.0,1,0,0,0,0.0785541577334,-0.245143679261,0.181699000484,-0.0959874422279,0.260156468647,0.280317580235,-0.0340346183867
2019-06-04 13:00:20.049999,-0.58803388516,-4.650639188,1.2071932792,1021.7861328,-1.8000823974,-0.28584220413,0.89126644421,-11.032499849,29.5949991937,-23.3549995647,-0.804531462338,-3.78248375585,-7.60846114212,104.05,1,0,0,0,0.0438780997029,-0.0858808879485,0.147058242051,-0.192770903434,0.0590474007276,0.263821300218,0.292527638423
2019-06-04 13:00:20.549999,-3.07504700468,-12.7625487781,11.0224430467,1021.8332032,-0.108440440656,-0.924338877311,0.193814439044,2.89999995638,33.0666660744,-26.7399995576,-0.359915521344,-4.33305316492,-0.2819377045,104.1,1,0,0,0,-0.0534160597088,-0.27880346782,0.239434870884,-0.129525210715,0.188398497454,0.0051519397021,0.0515784306263
2019-06-04 13:00:21.049999,-1.73010296991,-9.84789170019,2.24247785162,1021.7406736,1.57568102402,-0.24674677256,1.46480785019,4.43249988129,40.0649988638,-8.75250005675,-3.24694138798,-6.64792931095,2.349868238,104.15,1,0,0,0,-0.0793840050502,-0.411848554523,0.0342450186431,0.0778703270749,0.148346615399,0.322395007196,-0.0183173891716
2019-06-04 13:00:21.549999,-2.23888637402,-4.4765757069,2.28533532029,1021.7656738,-2.24442585713,1.85908895147,0.31485399016,-1.91249998797,21.5999995488,-35.9399993438,-3.01498502521,-1.82012605624,-5.98406350537,104.2,1,0,0,0,-0.0686399023685,-0.0265868465406,0.229066993478,-0.282802003979,-0.011260525104,0.161281568358,0.167620785761
