,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
214,1.55965461257e+18,2.214045868,1.113534393,9.298064575
215,1.55965461297e+18,2.301464081,0.9138496399,9.946067047
216,1.55965461337e+18,2.248773651,0.942739563,9.198222198
217,1.55965461377e+18,2.472258911,0.9304650879,9.840237122
218,1.55965461417e+18,2.376607819,1.188977509,9.506431274
219,1.55965461457e+18,2.331401825,1.121767273,9.829010468
220,1.55965461497e+18,2.415377197,1.022823029,9.359586639
221,1.55965461537e+18,2.285746765,1.022972717,10.06252487
222,1.55965461577e+18,2.537523193,1.098266144,9.661658478
223,1.55965461617e+18,2.312840424,1.001716919,9.742490387
224,1.55965461657e+18,2.361938324,1.290017395,9.789492645
225,1.55965461697e+18,2.414029999,1.353036346,9.512867889
226,1.55965461737e+18,2.46537323,1.32339798,9.544452209
227,1.55965461777e+18,2.352507935,1.152752838,9.625583496
228,1.55965461817e+18,2.227368164,0.9951306152,9.68007019
229,1.55965461857e+18,2.24428299,0.9719288635,9.240584106
230,1.55965461897e+18,2.479593658,0.7511380005,9.697583771
231,1.55965461937e+18,2.203717346,1.202449493,9.551188202
232,1.55965461977e+18,2.469564514,1.394051056,9.675878906
233,1.55965462017e+18,2.328557739,1.235830078,9.355095978
234,1.55965462057e+18,2.490970001,1.102457428,9.781858521
235,1.55965462097e+18,2.262395325,1.20514389,9.487720184
236,1.55965462137e+18,2.420466614,1.035396881,9.738299103
237,1.55965462177e+18,2.3927742,1.059197388,9.599837036
238,1.55965462217e+18,2.163151703,0.8208929443,9.842033386
239,1.55965462257e+18,2.203417969,0.7577243042,9.616452484
240,1.55965462298e+18,2.452200623,1.029259644,9.871072998
241,1.55965462338e+18,2.531984711,1.365011444,9.516909485
242,1.55965462378e+18,2.292333069,1.460512848,9.238488464
243,1.55965462418e+18,2.32032486,0.7152127075,9.731263733
244,1.55965462458e+18,1.988914032,0.08158035278,9.707163849
245,1.55965462498e+18,2.098486176,0.4697232056,9.773176575
246,1.55965462538e+18,2.186353455,1.470242615,9.384884033
247,1.55965462578e+18,2.320923615,1.64043869,9.491462402
248,1.55965462618e+18,2.337688751,0.9116043091,9.706116028
249,1.55965462658e+18,2.262245636,0.3549119568,9.691596222
250,1.55965462698e+18,2.252216492,0.374072113,10.21865021
251,1.55965462738e+18,2.186952209,0.9484277344,9.711205444
252,1.55965462778e+18,2.351759491,1.549877014,9.271419983
253,1.55965462818e+18,2.635269928,1.497036896,9.224118347
254,1.55965462858e+18,2.361938324,1.088686066,9.466314697
255,1.55965462898e+18,2.277513885,0.576151886,9.699829102
256,1.55965462938e+18,2.298170929,0.4632865906,9.792785797
257,1.55965462978e+18,2.426005096,0.9645941162,9.60762085
258,1.55965463018e+18,2.436483307,1.253942413,9.09508667
259,1.55965463058e+18,2.545905762,1.223405914,9.974058838
260,1.55965463098e+18,2.278711395,0.8940907288,9.299411774
261,1.55965463138e+18,2.553988953,0.9024732971,9.968220978
262,1.55965463178e+18,2.219135284,0.8381071472,9.643097076
263,1.55965463218e+18,2.376158752,0.9701325989,9.951755219
264,1.55965463258e+18,2.204166412,0.8490344238,9.303902435
265,1.55965463298e+18,2.555336151,1.008452911,9.617051239
266,1.55965463338e+18,2.529140625,0.8657995605,9.577234039
267,1.55965463368e+18,2.396516418,1.105900269,9.468709717
268,1.55965463408e+18,2.483784943,1.125509491,9.67423233
269,1.55965463448e+18,2.293530579,1.148411865,9.244326324
270,1.55965463488e+18,2.458487549,0.8782237244,9.572294312
271,1.55965463528e+18,2.318378906,0.8571176147,9.523795166
272,1.55965463568e+18,2.398162994,1.064286804,9.892628174
273,1.55965463598e+18,2.348616028,1.210233307,9.207502899
274,1.55965463648e+18,2.376907196,1.094374237,9.519603882
275,1.55965463678e+18,2.196382599,1.051712952,9.319919128
276,1.55965463708e+18,2.379601593,0.9966275024,9.847571869
277,1.55965463738e+18,2.422562256,1.185384979,9.949809265
278,1.55965463778e+18,2.278861084,1.058149567,9.931098175
279,1.55965463818e+18,2.394121399,0.9291178894,9.514514465
280,1.55965463858e+18,2.521805878,0.9283694458,9.528585205
281,1.55965463888e+18,2.406096497,1.020727386,9.786798248
282,1.55965463918e+18,2.33903595,1.12910202,9.532477112
283,1.55965463948e+18,2.483485565,1.030906219,9.706864471
284,1.55965463988e+18,2.312840424,0.8554710388,9.655820618
285,1.55965464018e+18,2.371668091,0.9791139221,9.624984741
286,1.55965464058e+18,2.356848907,1.223405914,9.708960114
287,1.55965464088e+18,2.566712494,1.375339966,9.324110413
288,1.55965464118e+18,2.483784943,1.126856689,9.664053497
289,1.55965464148e+18,2.517015839,1.124012604,9.193731537
290,1.55965464178e+18,2.514620819,0.7948471069,9.493258667
291,1.55965464208e+18,2.265538788,0.9145980835,9.665700073
292,1.55965464238e+18,2.409838715,1.083896027,9.339228973
293,1.55965464268e+18,2.497705994,1.29181366,9.741592255
294,1.55965464298e+18,2.32960556,1.122216339,9.478439484
295,1.55965464328e+18,2.654280396,1.151255951,9.645192719
296,1.55965464358e+18,2.617906036,0.7801776123,9.510173492
297,1.55965464388e+18,2.235601044,1.071022797,9.432185669
298,1.55965464418e+18,2.653531952,0.8740324402,9.796827393
299,1.55965464448e+18,2.153122559,1.135089569,9.591005402
300,1.55965464478e+18,2.65607666,1.052461395,9.961185608
301,1.55965464518e+18,2.355501709,1.287173309,9.64968338
302,1.55965464568e+18,2.706072693,1.182540894,10.09964767
303,1.55965464618e+18,2.187550964,1.109941864,9.213041382
304,1.55965464648e+18,2.675835571,1.017733612,10.00743942
305,1.55965464698e+18,2.152523804,0.9753717041,9.164392548
306,1.55965464728e+18,2.500250702,0.9238787842,9.865235138
307,1.55965464758e+18,2.327509918,1.012045441,9.311237183
308,1.55965464788e+18,2.484234009,0.8738827515,9.883646851
309,1.55965464818e+18,2.348466339,1.059496765,9.688452759
310,1.55965464868e+18,2.328707428,1.045426025,9.603429565
311,1.55965464898e+18,2.360291748,1.087787933,10.02091141
312,1.55965464928e+18,2.451152802,1.071172485,9.400152283
313,1.55965464958e+18,2.404749298,1.020727386,9.325457611
314,1.55965464988e+18,2.461930389,0.8952882385,9.664502563
315,1.55965465018e+18,2.425256653,0.8309220886,9.652826843
316,1.55965465048e+18,2.289488983,0.8994795227,9.628577271
317,1.55965465078e+18,2.388433228,1.017883301,9.535470886
318,1.55965465108e+18,2.532733154,1.091530151,9.476194153
319,1.55965465138e+18,2.569706268,1.151705017,9.447902985
320,1.55965465168e+18,2.373763733,1.006357269,9.518406372
321,1.55965465198e+18,2.510130157,1.023421783,9.565857697
322,1.55965465228e+18,2.406545563,0.8821156311,9.255852356
323,1.55965465258e+18,2.658621368,1.203347626,9.564211121
324,1.55965465288e+18,2.819087677,0.982407074,9.883197784
325,1.55965465318e+18,2.548899536,0.9485774231,9.635762329
326,1.55965465348e+18,2.292033691,0.9602531433,9.571695557
327,1.55965465398e+18,2.547851715,0.9916877747,9.513766022
328,1.55965465448e+18,2.538121948,1.0086026,9.724228363
329,1.55965465488e+18,2.455942841,0.9253756714,9.470206604
330,1.55965465528e+18,2.324366455,1.190624084,9.617500305
331,1.55965465568e+18,2.583777008,0.6945556641,9.62513443
332,1.55965465598e+18,2.389780426,0.8111631775,9.335486755
333,1.55965465628e+18,2.597398682,0.9563612366,10.01058289
334,1.55965465678e+18,2.557731171,1.100212097,9.260642395
335,1.55965465708e+18,2.65607666,0.9954299927,9.948013
336,1.55965465738e+18,2.672243042,0.9416917419,9.702074432
337,1.55965465768e+18,2.211950226,0.9388476562,9.529034271
338,1.55965465798e+18,2.402054901,1.017134857,9.745334473
339,1.55965465828e+18,2.395618286,1.015787659,9.578132172
340,1.55965465868e+18,2.307301941,0.9976753235,9.324260101
341,1.55965465898e+18,2.368075562,1.069376221,9.675579529
342,1.55965465928e+18,2.601739655,0.928818512,9.641749878
343,1.55965465958e+18,2.404150543,0.8469387817,9.502689056
344,1.55965465998e+18,2.534529419,0.9219328308,9.974358215
345,1.55965466038e+18,2.190993805,1.1174263,9.156159668
346,1.55965466078e+18,2.403851166,1.151705017,9.710906067
347,1.55965466118e+18,2.291135559,1.07057373,9.356892242
348,1.55965466158e+18,2.35190918,0.8810678101,9.501940613
349,1.55965466208e+18,2.482288055,0.9895921326,9.700577545
350,1.55965466248e+18,2.306703186,1.164727936,9.656569061
351,1.55965466288e+18,2.326761475,0.8746311951,9.623188477
352,1.55965466328e+18,2.363285522,0.619561615,9.032516785
353,1.55965466368e+18,2.492017822,0.7117698669,9.858948212
354,1.55965466418e+18,2.171534271,1.044677582,9.245374146
355,1.55965466458e+18,2.733615417,1.371148682,9.873917084
356,1.55965466498e+18,2.295326843,0.9764195251,9.534572754
357,1.55965466538e+18,2.658321991,0.9684860229,9.69069809
358,1.55965466578e+18,2.450554047,0.6815327454,9.704469452
359,1.55965466608e+18,2.600093079,0.9086105347,9.782756653
360,1.55965466638e+18,2.392325134,1.160536652,9.760153656
361,1.55965466678e+18,2.492017822,0.953966217,9.56660614
362,1.55965466718e+18,2.266736298,1.040785675,9.42859314
363,1.55965466758e+18,2.536026306,0.9626481628,9.796378326
364,1.55965466788e+18,2.577190704,0.928818512,9.470206604
365,1.55965466818e+18,2.533930664,0.8945397949,9.715995483
366,1.55965466848e+18,2.435136108,0.9404942322,9.506281586
367,1.55965466878e+18,2.541265411,0.8183482361,9.671388245
368,1.55965466908e+18,2.619702301,0.9196875,9.84038681
369,1.55965466938e+18,2.336042175,1.112636261,9.479187927
370,1.55965466988e+18,2.305805054,1.095422058,9.060658264
371,1.55965467018e+18,2.628234558,0.9243278503,9.95744339
372,1.55965467068e+18,2.287243652,0.9720785522,9.478289795
373,1.55965467098e+18,2.637664948,0.9012757874,9.996362457
