,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
623,1.55965378017e+18,-0.9743238831,3.142415314,7.361391907
624,1.55965378057e+18,-0.1682501221,1.364412689,5.609285431
625,1.55965378097e+18,-3.190615082,-0.02559677124,10.90467361
626,1.55965378137e+18,-1.692829742,5.227130127,14.26922699
627,1.55965378177e+18,-1.589245148,3.551065521,6.243965607
628,1.55965378218e+18,-0.2001338196,2.926713867,4.052971802
629,1.55965378258e+18,0.08337661743,0.7890092468,8.320896606
630,1.55965378298e+18,-0.9544152832,4.723277893,12.80871414
631,1.55965378338e+18,-1.144819336,3.27743454,9.309889984
632,1.55965378378e+18,-1.827399902,1.926493835,7.193291473
633,1.55965378418e+18,-3.484903107,0.4816983032,10.53254745
634,1.55965378458e+18,-2.346221008,2.668051758,13.40986404
635,1.55965378498e+18,-1.48251709,2.988235931,6.377637634
636,1.55965378538e+18,-1.056652679,2.392025757,5.35436554
637,1.55965378579e+18,-1.157692566,0.440533905,9.424252167
638,1.55965378619e+18,-2.704875183,3.66003891,13.19970108
639,1.55965378659e+18,-1.144669647,3.086282043,8.59782074
640,1.55965378699e+18,-0.7387138367,1.321601715,5.789061584
641,1.55965378739e+18,-2.666255493,1.320853271,8.82714386
642,1.55965378779e+18,0.0643661499,4.919819183,13.1118338
643,1.55965378819e+18,-1.186133423,3.492836609,8.824000397
644,1.55965378859e+18,-0.0008981323242,1.850152588,5.341192932
645,1.559653789e+18,0.7467970276,1.985770569,7.362439728
646,1.5596537894e+18,-0.5046006775,6.440506897,13.27918579
647,1.5596537898e+18,-1.127156067,5.765560455,8.980874176
648,1.5596537902e+18,-0.4601431274,1.537153473,5.291196899
649,1.5596537906e+18,-3.238365784,3.113675079,6.830146637
650,1.559653791e+18,-1.931583252,7.102280731,15.56912384
651,1.5596537914e+18,-0.2568658447,3.790567474,12.33749405
652,1.5596537918e+18,0.6759942627,2.153272247,4.710853729
653,1.55965379221e+18,0.393381958,1.100810852,8.551267548
654,1.55965379261e+18,-1.263223114,1.969604187,14.01924683
655,1.55965379301e+18,0.9991722107,2.75082962,12.10083618
656,1.55965379341e+18,0.40251297,2.86549118,4.822371826
657,1.55965379381e+18,-1.448388062,0.7394622803,8.278834076
658,1.55965379421e+18,-2.360441437,-0.8409512329,16.69268738
659,1.55965379461e+18,-1.347497864,1.788181458,12.04874451
660,1.55965379502e+18,-1.892963562,4.395459595,5.139113159
661,1.55965379542e+18,-0.6920109558,0.9846524048,7.891439667
