"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.247370732E1,5.209821667E1,5.132855801E0,1.344692230E0,2.609999895E0,3.480468750E2,1.000000000E1,1.000000000E1
9.347370529E1,5.209822970E1,5.132844988E0,9.957542419E-1,2.609999895E0,3.202734375E2,1.000000000E1,1.000000000E1
9.447370410E1,5.209820820E1,5.132825626E0,1.019374847E0,1.629999995E0,2.499609375E2,1.000000000E1,1.000000000E1
9.547370327E1,5.209822266E1,5.132847168E0,1.045131683E0,1.629999995E0,3.396093750E2,1.000000000E1,1.000000000E1
9.647370195E1,5.209827363E1,5.132889915E0,1.529689789E0,1.629999995E0,2.109375000E1,1.000000000E1,1.000000000E1
9.747369993E1,5.209831189E1,5.132903242E0,1.558986664E0,3.569999933E0,1.371093750E1,1.000000000E1,1.000000000E1
9.847369909E1,5.209835116E1,5.132928221E0,1.695766449E0,4.050000191E0,2.179687500E1,1.000000000E1,1.000000000E1
9.947369730E1,5.209839256E1,5.132957138E0,1.478237152E0,3.650000095E0,2.707031250E1,1.000000000E1,1.000000000E1
1.004736954E2,5.209843946E1,5.132980943E0,1.243190765E0,3.650000095E0,2.988281250E1,1.000000000E1,1.000000000E1
1.014736933E2,5.209848766E1,5.133006843E0,9.356956482E-1,3.650000095E0,2.390625000E1,1.000000000E1,1.000000000E1
1.024736915E2,5.209853443E1,5.133029055E0,6.654930115E-1,3.730000019E0,2.109375000E1,1.000000000E1,1.000000000E1
1.034736910E2,5.209859327E1,5.133053362E0,4.781723022E-2,4.010000229E0,2.003906250E1,1.000000000E1,1.000000000E1
1.044736891E2,5.209863153E1,5.133072389E0,-7.193374634E-2,3.730000019E0,1.933593750E1,1.000000000E1,1.000000000E1
1.054736881E2,5.209865974E1,5.133088231E0,1.735687256E-3,2.900000095E0,2.074218750E1,1.000000000E1,1.000000000E1
1.064736860E2,5.209870999E1,5.133137852E0,-3.533668518E-1,2.900000095E0,2.425781250E1,1.000000000E1,1.000000000E1
1.074736848E2,5.209874381E1,5.133163920E0,-3.010597229E-1,4.050000191E0,2.425781250E1,1.000000000E1,1.000000000E1
1.084736834E2,5.209877692E1,5.133180181E0,2.243309021E-1,4.050000191E0,1.617187500E1,1.000000000E1,1.000000000E1
1.094736818E2,5.209880617E1,5.133201974E0,2.177391052E-1,3.250000000E0,1.968750000E1,1.000000000E1,1.000000000E1
1.104736797E2,5.209883681E1,5.133216726E0,2.676658630E-1,3.250000000E0,1.898437500E1,1.000000000E1,1.000000000E1
1.114736784E2,5.209887842E1,5.133234244E0,4.172630310E-1,3.299999952E0,2.003906250E1,1.000000000E1,1.000000000E1
1.124736775E2,5.209891136E1,5.133260814E0,6.530418396E-1,3.839999914E0,2.460937500E1,1.000000000E1,1.000000000E1
