"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.859933267E1,1.115174866E2,1.009500198E2,1.066785278E2
9.884893567E1,2.388757324E1,2.707769012E1,4.286669922E1
9.909853867E1,2.730375671E1,2.587090302E1,4.266854858E1
9.934812113E1,2.668217468E1,2.754866791E1,4.559994507E1
9.959772513E1,4.648791504E1,4.553992462E1,7.774987793E1
9.984732813E1,2.900346375E1,2.893128204E1,5.384024048E1
1.000969311E2,3.073922729E1,2.248331451E1,3.642749023E1
1.003465419E2,3.628497314E1,3.009626007E1,5.006301880E1
1.005961449E2,4.950622559E1,4.417794037E1,6.621112061E1
1.008457479E2,8.662539673E1,7.532540131E1,9.149017334E1
1.010953209E2,2.894381714E1,2.685497284E1,4.561392212E1
1.013449180E2,3.347877502E1,2.757517242E1,4.740728760E1
1.015945210E2,3.192984009E1,2.668025970E1,3.930627441E1
1.018441250E2,1.471163330E2,1.223364639E2,1.131159058E2
1.020937280E2,1.930387878E1,2.293350983E1,3.432449341E1
1.023433298E2,3.134579468E1,2.528926849E1,3.355535889E1
1.025929338E2,2.588195801E1,2.079015350E1,4.564422607E1
1.028425368E2,2.581192017E1,2.784412384E1,4.566784668E1
1.030921398E2,5.504400635E1,4.995821381E1,7.683343506E1
1.033417588E2,2.494319153E1,2.473862457E1,3.317633057E1
1.035913628E2,4.783171082E1,4.207645416E1,5.137835693E1
1.038409658E2,3.386062622E1,3.391422272E1,4.718859863E1
1.040905688E2,2.110177612E1,2.364911652E1,4.096801758E1
1.043401818E2,6.401580811E1,5.834316254E1,7.258117676E1
1.045897858E2,4.071414185E1,3.825722504E1,4.658105469E1
1.048393888E2,3.848611450E1,3.552390289E1,4.322558594E1
1.050889918E2,2.819183350E1,2.448564911E1,3.401425171E1
1.053385803E2,1.210596924E2,1.067331772E2,1.086024170E2
1.055881843E2,2.595951843E1,2.169391632E1,2.873699951E1
1.058377573E2,2.191828918E1,1.874198151E1,2.297485352E1
1.060873602E2,2.709144592E1,2.455411530E1,3.208599854E1
1.063369855E2,3.915449524E1,3.708107758E1,5.882553101E1
1.065865885E2,6.292626953E1,5.719901276E1,6.520285034E1
1.068361925E2,2.466128540E1,2.258396149E1,3.200833130E1
1.070857955E2,2.961024475E1,1.861421967E1,2.668896484E1
1.073353974E2,2.439636230E1,2.145818329E1,3.771154785E1
1.075850004E2,4.121798706E1,3.723361969E1,5.267318726E1
1.078346044E2,3.240489197E1,2.864467621E1,4.802441406E1
1.080842074E2,2.528115845E1,2.418918610E1,3.974575806E1
1.083338075E2,4.477334595E1,3.986077118E1,5.875329590E1
1.085834105E2,2.132949829E1,1.629166412E1,2.979858398E1
1.088330145E2,1.209134216E2,1.048204727E2,1.101513062E2
1.090826175E2,2.814660645E1,2.026425934E1,4.202130127E1
1.093322153E2,3.056269836E1,2.595775604E1,4.032498169E1
1.095818193E2,4.004965210E1,2.936121368E1,4.550775146E1
1.098313913E2,8.581072998E1,7.562992096E1,8.558026123E1
1.100809953E2,3.395333862E1,3.167548370E1,4.804418945E1
1.103305956E2,3.575205994E1,2.788515472E1,3.854901123E1
1.105801986E2,4.092631531E1,3.472098541E1,4.773138428E1
1.108298016E2,6.504193115E1,5.850258636E1,7.784381104E1
1.110794056E2,3.411836243E1,3.260323334E1,4.669775391E1
1.113290146E2,3.242866516E1,2.529576874E1,3.349755859E1
1.115786176E2,4.260821533E1,3.544304657E1,4.439257812E1
1.118282216E2,2.513504028E1,2.381920624E1,4.170648193E1
1.120778246E2,8.789593506E1,7.939562225E1,9.877011108E1
