,Time (s),X (hPa),label
391,1.55965360599e+18,1008.212204,train
392,1.55965360703e+18,1008.284683,train
393,1.55965360807e+18,1008.359299,train
394,1.55965360911e+18,1008.443527,train
395,1.55965361015e+18,1008.524094,train
396,1.55965361119e+18,1008.601151,train
397,1.55965361223e+18,1008.667374,train
398,1.55965361328e+18,1008.729248,train
399,1.55965361432e+18,1008.78479,train
400,1.55965361536e+18,1008.834,train
401,1.5596536164e+18,1008.874969,train
402,1.55965361744e+18,1008.908844,train
403,1.55965361848e+18,1008.936615,train
404,1.55965361952e+18,1008.955841,train
405,1.55965362056e+18,1008.971329,train
406,1.55965362161e+18,1008.971329,train
407,1.55965362265e+18,1008.969955,train
408,1.55965362369e+18,1008.969955,train
409,1.55965362473e+18,1008.971176,train
410,1.55965362577e+18,1008.972855,train
411,1.55965362681e+18,1008.983307,train
412,1.55965362785e+18,1008.994522,train
413,1.55965362889e+18,1009.000015,train
414,1.55965362993e+18,1009.003754,train
415,1.55965363097e+18,1009.005966,train
416,1.55965363201e+18,1009.005966,train
417,1.55965363305e+18,1009.001999,train
418,1.5596536341e+18,1009.000702,train
419,1.55965363514e+18,1008.999863,train
420,1.55965363618e+18,1008.993683,train
421,1.55965363722e+18,1008.99353,train
422,1.55965363826e+18,1008.992767,train
423,1.5596536393e+18,1008.992767,train
424,1.55965364034e+18,1008.992767,train
425,1.55965364138e+18,1008.991928,train
426,1.55965364243e+18,1008.989182,train
427,1.55965364347e+18,1008.982544,train
428,1.55965364451e+18,1008.976364,train
429,1.55965364555e+18,1008.969269,train
430,1.55965364659e+18,1008.964844,train
431,1.55965364763e+18,1008.961716,train
432,1.55965364867e+18,1008.955841,train
433,1.55965364971e+18,1008.949356,train
434,1.55965365075e+18,1008.941727,train
435,1.55965365179e+18,1008.930969,train
436,1.55965365283e+18,1008.919754,train
437,1.55965365387e+18,1008.908844,train
438,1.55965365491e+18,1008.893204,train
439,1.55965365596e+18,1008.88031,train
440,1.559653657e+18,1008.86734,train
441,1.55965365804e+18,1008.852615,train
442,1.55965365908e+18,1008.842392,train
443,1.55965366012e+18,1008.833771,train
444,1.55965366116e+18,1008.825912,train
445,1.5596536622e+18,1008.817749,train
446,1.55965366324e+18,1008.814468,train
447,1.55965366428e+18,1008.814468,train
448,1.55965366532e+18,1008.815765,train
449,1.55965366636e+18,1008.816605,train
450,1.5596536674e+18,1008.816605,train
451,1.55965366844e+18,1008.821945,train
452,1.55965366949e+18,1008.82225,train
453,1.55965367053e+18,1008.82309,train
454,1.55965367157e+18,1008.82782,train
455,1.55965367261e+18,1008.83667,train
456,1.55965367365e+18,1008.845749,train
457,1.55965367469e+18,1008.856888,train
458,1.55965367573e+18,1008.867798,train
459,1.55965367677e+18,1008.8797,train
460,1.55965367781e+18,1008.882523,train
461,1.55965367885e+18,1008.884048,train
462,1.55965367989e+18,1008.884048,train
463,1.55965368093e+18,1008.878937,train
464,1.55965368197e+18,1008.872528,train
465,1.55965368301e+18,1008.867569,train
466,1.55965368405e+18,1008.863297,train
467,1.55965368509e+18,1008.854904,train
468,1.55965368613e+18,1008.850784,train
469,1.55965368717e+18,1008.846207,train
470,1.55965368821e+18,1008.841705,train
471,1.55965368925e+18,1008.832932,train
472,1.55965369029e+18,1008.825684,train
473,1.55965369134e+18,1008.8134,train
474,1.55965369238e+18,1008.804169,train
475,1.55965369342e+18,1008.804169,train
476,1.55965369446e+18,1008.804245,train
477,1.5596536955e+18,1008.805923,train
478,1.55965369654e+18,1008.809586,train
479,1.55965369758e+18,1008.809586,train
480,1.55965369862e+18,1008.804703,train
481,1.55965369966e+18,1008.800507,train
482,1.5596537007e+18,1008.798752,train
483,1.55965370174e+18,1008.798752,train
484,1.55965370278e+18,1008.803101,train
485,1.55965370382e+18,1008.804932,train
486,1.55965370486e+18,1008.806152,train
487,1.5596537059e+18,1008.809128,train
488,1.55965370694e+18,1008.811798,train
489,1.55965370798e+18,1008.819351,train
490,1.55965370902e+18,1008.826675,train
