"Time (s)","X (hPa)"
4.158140330E2,1.008943558E3
4.168531380E2,1.008909836E3
4.178930040E2,1.008876419E3
4.189331690E2,1.008839722E3
4.199718840E2,1.008804550E3
4.210115700E2,1.008768921E3
4.220517360E2,1.008736420E3
4.230901510E2,1.008701324E3
4.241290450E2,1.008668747E3
4.251662840E2,1.008635864E3
4.262052340E2,1.008602524E3
4.272468710E2,1.008571320E3
4.282874810E2,1.008544769E3
4.293283540E2,1.008521652E3
4.303653940E2,1.008504791E3
4.314038660E2,1.008494339E3
4.324433320E2,1.008491592E3
4.334824440E2,1.008489761E3
4.345210250E2,1.008488998E3
4.355602530E2,1.008488998E3
4.365985350E2,1.008490829E3
4.376381280E2,1.008490829E3
4.386806580E2,1.008490448E3
4.397180120E2,1.008487625E3
4.407569330E2,1.008486938E3
4.417960150E2,1.008487625E3
4.428366720E2,1.008487701E3
4.438754310E2,1.008487778E3
4.449164960E2,1.008491974E3
4.459572440E2,1.008493576E3
4.469960800E2,1.008497314E3
4.480350830E2,1.008501205E3
4.490756270E2,1.008504105E3
4.501156210E2,1.008508911E3
4.511546660E2,1.008514633E3
4.521929440E2,1.008517838E3
4.532308570E2,1.008518677E3
4.542717090E2,1.008520355E3
4.553112110E2,1.008520355E3
4.563511050E2,1.008520126E3
4.573891590E2,1.008517914E3
4.584294510E2,1.008514938E3
4.594690430E2,1.008513107E3
4.605090840E2,1.008509521E3
4.615476140E2,1.008502579E3
4.625856450E2,1.008500595E3
4.636225920E2,1.008498001E3
4.646604870E2,1.008493347E3
4.656996900E2,1.008488083E3
4.667409230E2,1.008485565E3
4.677815670E2,1.008481369E3
4.688191700E2,1.008474579E3
4.698615560E2,1.008468857E3
4.709000620E2,1.008466492E3
4.719405790E2,1.008464050E3
4.729796130E2,1.008464050E3
4.740186970E2,1.008464050E3
4.750579660E2,1.008465805E3
4.760981070E2,1.008466415E3
4.771358180E2,1.008465805E3
4.781746090E2,1.008464966E3
4.792154890E2,1.008464050E3
4.802565550E2,1.008461838E3
4.812956000E2,1.008460083E3
4.823342720E2,1.008459854E3
4.833733140E2,1.008459854E3
4.844126350E2,1.008460617E3
4.854512870E2,1.008464661E3
4.864918100E2,1.008464661E3
4.875326290E2,1.008463440E3
4.885734660E2,1.008461838E3
4.896124490E2,1.008460922E3
4.906509120E2,1.008460922E3
4.916928520E2,1.008462296E3
4.927322300E2,1.008464584E3
4.937710340E2,1.008465881E3
4.948120250E2,1.008465881E3
4.958540570E2,1.008464813E3
4.968934720E2,1.008463440E3
4.979327530E2,1.008463440E3
4.989749400E2,1.008463287E3
5.000174900E2,1.008463669E3
5.010595350E2,1.008463669E3
5.020973940E2,1.008463669E3
5.031374460E2,1.008461838E3
5.041780320E2,1.008458939E3
5.052186500E2,1.008458862E3
5.062591230E2,1.008458023E3
5.073017680E2,1.008457794E3
5.083443570E2,1.008456726E3
5.093829060E2,1.008456268E3
5.104234820E2,1.008456268E3
5.114639860E2,1.008456268E3
5.125021440E2,1.008454437E3
5.135432390E2,1.008454437E3
5.145839270E2,1.008454742E3
5.156254180E2,1.008454742E3
5.166650170E2,1.008454742E3
5.177037170E2,1.008454895E3
5.187437540E2,1.008455353E3
5.197827040E2,1.008456650E3
5.208235470E2,1.008459091E3
5.218628400E2,1.008461761E3
5.229024900E2,1.008464279E3
5.239428570E2,1.008464279E3
5.249833850E2,1.008462143E3
5.260247000E2,1.008459854E3
5.270665740E2,1.008454208E3
5.281074970E2,1.008451080E3
5.291467770E2,1.008451080E3
5.301869830E2,1.008451080E3
5.312271520E2,1.008451385E3
5.322664400E2,1.008452301E3
5.333036270E2,1.008454590E3
