"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.037603657E2,5.233621159E1,4.868254876E0,6.295986176E0,1.529999971E0,7.031250000E-1,1.000000000E1,1.000000000E1
2.047603607E2,5.233622500E1,4.868250182E0,6.460659027E0,1.419999957E0,3.515625000E2,1.000000000E1,1.000000000E1
2.057603559E2,5.233623975E1,4.868248506E0,6.576931000E0,1.649999976E0,6.679687500E0,1.000000000E1,1.000000000E1
2.067603513E2,5.233625388E1,4.868251942E0,6.500087738E0,1.419999957E0,3.375000000E1,1.000000000E1,1.000000000E1
2.077603469E2,5.233626528E1,4.868262252E0,6.554164886E0,1.519999981E0,3.234375000E1,1.000000000E1,1.000000000E1
2.087603412E2,5.233627571E1,4.868271472E0,6.692348480E0,1.179999948E0,1.828125000E1,1.000000000E1,1.000000000E1
2.097603375E2,5.233628531E1,4.868280524E0,6.680080414E0,1.240000010E0,2.777343750E1,1.000000000E1,1.000000000E1
2.107603319E2,5.233629692E1,4.868288152E0,6.544033051E0,1.299999952E0,1.335937500E1,1.000000000E1,1.000000000E1
2.117603273E2,5.233631318E1,4.868296869E0,6.668849945E0,1.299999952E0,2.601562500E1,1.000000000E1,1.000000000E1
2.127603222E2,5.233632881E1,4.868307095E0,6.653285980E0,1.539999962E0,2.003906250E1,1.000000000E1,1.000000000E1
2.137603177E2,5.233634365E1,4.868319668E0,6.489711761E0,1.539999962E0,2.320312500E1,1.000000000E1,1.000000000E1
2.147603124E2,5.233635438E1,4.868326541E0,6.286342621E0,1.139999986E0,1.546875000E1,1.000000000E1,1.000000000E1
2.157603076E2,5.233636913E1,4.868336683E0,5.927822113E0,1.549999952E0,2.390625000E1,1.000000000E1,1.000000000E1
2.167603023E2,5.233638187E1,4.868350010E0,5.986415863E0,1.139999986E0,3.269531250E1,1.000000000E1,1.000000000E1
2.177602977E2,5.233639122E1,4.868359733E0,5.943325043E0,1.129999995E0,8.296875000E1,1.000000000E1,1.000000000E1
2.187602925E2,5.233639813E1,4.868362919E0,6.059841156E0,6.399999857E-1,3.392578125E2,1.000000000E1,1.000000000E1
2.197602875E2,5.233639813E1,4.868362919E0,6.001186371E0,0.000000000E0,8.437500000E0,1.000000000E1,1.000000000E1
2.207602835E2,5.233641615E1,4.868367780E0,5.730800629E0,1.169999957E0,1.828125000E1,1.000000000E1,1.000000000E1
2.217602779E2,5.233643451E1,4.868372390E0,5.534145355E0,1.169999957E0,0.000000000E0,1.000000000E1,1.000000000E1
2.227602738E2,5.233645441E1,4.868376749E0,5.365200043E0,1.169999957E0,1.230468750E1,1.000000000E1,1.000000000E1
2.237602687E2,5.233647797E1,4.868383035E0,5.107570648E0,1.370000005E0,2.390625000E1,1.000000000E1,1.000000000E1
2.247602640E2,5.233650525E1,4.868392842E0,4.825405121E0,1.990000010E0,2.039062500E1,1.000000000E1,1.000000000E1
2.257602586E2,5.233653015E1,4.868401391E0,4.696071625E0,1.990000010E0,1.863281250E1,1.000000000E1,1.000000000E1
2.267602543E2,5.233654775E1,4.868404074E0,4.622524261E0,1.529999971E0,3.382031250E2,1.000000000E1,1.000000000E1
2.277602485E2,5.233656049E1,4.868404074E0,4.622463226E0,4.900000095E-1,6.328125000E0,1.000000000E1,1.000000000E1
2.287602448E2,5.233657646E1,4.868402649E0,4.613491058E0,4.900000095E-1,5.273437500E0,1.000000000E1,1.000000000E1
