"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.065354538E1,-1.390368026E-2,1.342207659E-2,5.500538275E-3
7.090317838E1,6.789296865E-3,-8.353723213E-3,1.315940171E-4
7.115284142E1,-6.506203674E-3,-1.178249717E-2,-2.585584298E-3
7.140250542E1,1.838932373E-2,9.224509820E-3,4.247510806E-4
7.165216942E1,-1.555788331E-4,-6.203274243E-3,-7.553794421E-3
7.190183442E1,1.220703963E-2,2.047243342E-2,-4.515795037E-3
7.215147100E1,-8.771100082E-3,8.471881971E-3,4.119577818E-3
7.240113600E1,-8.799113333E-3,-1.528530940E-2,6.027985364E-3
7.265080000E1,-9.730461054E-3,1.120453700E-3,1.244447194E-2
7.290046400E1,-6.478836760E-3,-4.425648600E-3,8.121132851E-7
7.315015413E1,1.936398633E-2,-1.915337890E-2,-1.024565846E-2
7.339981812E1,2.780326270E-2,-2.540993504E-3,-1.205807179E-2
7.364948213E1,5.980435759E-3,3.088415600E-3,6.651539821E-3
7.389914713E1,3.897055052E-3,-4.375232384E-4,8.917981759E-4
7.414880100E1,-6.628340110E-3,5.936557427E-3,7.066324353E-3
7.439846500E1,-1.183091104E-2,-2.148514614E-3,1.073999424E-2
7.464813000E1,-5.511962809E-3,-2.198182978E-2,-7.554545067E-3
7.489779400E1,8.593594655E-3,3.005657345E-5,1.067259815E-2
7.514748667E1,5.656575784E-3,-1.073433086E-4,-3.332596272E-3
7.539715067E1,1.014443021E-2,4.888592288E-3,-3.921147436E-4
7.564681567E1,1.352458913E-2,-2.025657706E-2,-2.094749361E-3
7.589647967E1,7.003095467E-3,2.213211730E-2,-1.348896883E-3
7.614614738E1,1.062825322E-4,-4.090806842E-2,-1.653984003E-2
7.639581238E1,2.927369624E-2,-1.213132404E-3,-8.155829273E-3
7.664547638E1,8.706795052E-3,1.450522058E-2,-2.104778774E-3
7.689514038E1,-5.927501246E-2,-8.083947003E-2,1.669363864E-2
7.714481129E1,3.793639597E-3,-5.374625325E-4,2.108947374E-3
7.739447529E1,1.336303633E-2,-1.026033424E-2,-1.413267106E-2
7.764413929E1,6.465494633E-3,7.927203551E-4,7.907142863E-3
7.789380429E1,3.195227683E-2,2.186663449E-3,-1.221112814E-2
7.814351563E1,1.597395912E-2,-7.703009527E-3,-1.664951444E-3
7.839318063E1,9.721400216E-3,-6.800111849E-3,1.088367775E-3
7.864284462E1,8.577732369E-3,1.231536921E-2,-5.324172787E-3
7.889250863E1,-8.712681010E-4,3.135202825E-2,3.206669539E-2
7.914218504E1,-1.604913268E-3,7.834940217E-3,1.741947606E-2
7.939184904E1,1.089078840E-2,1.276074722E-2,9.869160131E-4
7.964151304E1,2.237414569E-2,-2.976850048E-2,-9.585002437E-3
7.989117804E1,1.872682944E-2,-4.340223968E-4,3.353108186E-3
8.014088175E1,6.255300716E-3,1.579763740E-2,-8.049047552E-3
8.039054675E1,-2.613604441E-2,1.033338811E-2,-1.188538969E-2
8.064021075E1,-5.376576260E-2,-2.267486416E-3,-2.270285971E-2
8.088987475E1,-2.230188996E-2,3.222164512E-2,2.168508619E-2
8.113955200E1,-7.122138143E-2,-9.342339635E-2,2.453739196E-2
8.138921600E1,5.572408438E-2,1.094141416E-2,-3.199764341E-2
8.163891100E1,7.729704678E-2,-3.638438135E-2,-3.053741157E-2
8.188857500E1,1.694547012E-2,2.155154943E-4,-3.830606118E-3
8.213825763E1,2.473803982E-2,2.160321176E-2,-1.367995702E-2
8.238792262E1,-2.297488600E-2,-1.983903907E-2,1.240091212E-2
8.263758663E1,-7.103582378E-3,-5.132634193E-3,-6.503569894E-3
