"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.285537279E2,1.142987061E1,5.627273560E0,2.623107910E0
3.288033929E2,1.148210144E1,6.508758545E0,3.255554199E0
3.290530569E2,1.180294800E1,8.372955322E0,3.149230957E0
3.293026824E2,1.235659790E1,7.469238281E0,3.843750000E0
3.295523464E2,1.190484619E1,3.590118408E0,-1.014526367E0
3.298020104E2,9.482345581E0,3.264480591E0,-1.246826172E0
3.300516444E2,9.890029907E0,3.176818848E0,-6.582641602E-1
3.303013259E2,9.607437134E0,3.894561768E0,9.972534180E-1
3.305509909E2,1.125144958E1,1.534469604E0,4.867126465E0
3.308006549E2,1.074803162E1,5.191299438E0,9.235229492E-1
3.310502889E2,1.063087463E1,5.548919678E0,6.130371094E-1
3.312999633E2,1.116583252E1,4.897567749E0,-1.472412109E0
3.315496283E2,9.728256226E0,3.736663818E0,-1.624084473E0
3.317992613E2,1.073345947E1,5.342086792E0,4.659423828E-1
3.320489263E2,1.099748230E1,7.151992798E0,-2.209472656E-1
3.322985979E2,1.085116577E1,7.205764771E0,-9.911499023E-1
3.325482319E2,1.105059814E1,8.244567871E0,-1.884704590E0
3.327978959E2,1.118862915E1,7.993499756E0,-3.424072266E-1
3.330475599E2,1.142166138E1,7.228332520E0,-1.269470215E0
3.332972094E2,1.235871887E1,8.164825439E0,8.036499023E-1
3.335468734E2,1.227075195E1,8.710983276E0,8.027954102E-1
3.337965384E2,1.209783936E1,9.893371582E0,8.132934570E-1
3.340462024E2,1.234202576E1,9.854904175E0,2.469482422E-1
3.342958530E2,1.267413330E1,1.067747498E1,4.638671875E-3
3.345455170E2,1.301278687E1,1.103974915E1,1.058654785E0
3.347951810E2,1.344912720E1,1.124635315E1,1.211120605E0
3.350448150E2,1.334976196E1,1.230456543E1,1.148681641E0
3.352944745E2,1.363357544E1,1.195616150E1,6.432495117E-1
3.355441075E2,1.275563049E1,1.213609314E1,1.107788086E-1
3.357937725E2,1.282827759E1,1.238691711E1,4.091186523E-1
3.360434365E2,1.334681702E1,1.277659607E1,-1.546630859E-1
3.362930785E2,1.397001648E1,1.279983521E1,-2.075195312E-1
3.365427425E2,1.184252930E1,1.375170898E1,-8.583374023E-1
3.367924065E2,1.539759827E1,1.063513184E1,-4.235351562E0
3.370420405E2,1.134057617E1,1.008804321E1,-3.770080566E0
3.372917044E2,1.241198730E1,1.055328369E1,-2.618591309E0
3.375413694E2,1.217330933E1,1.124749756E1,-1.889343262E0
