"Time (s)","X (hPa)"
1.988326940E2,1.008931351E3
1.998720700E2,1.008915939E3
2.009135210E2,1.008897095E3
2.019549170E2,1.008884048E3
2.029942660E2,1.008874359E3
2.040355410E2,1.008874283E3
2.050771710E2,1.008874283E3
2.061190300E2,1.008878632E3
2.071600500E2,1.008884430E3
2.082017700E2,1.008890228E3
2.092430520E2,1.008890381E3
2.102825530E2,1.008890381E3
2.113239510E2,1.008887711E3
2.123653770E2,1.008883514E3
2.134068950E2,1.008882446E3
2.144485100E2,1.008882446E3
2.154880390E2,1.008889847E3
2.165297490E2,1.008903122E3
2.175711910E2,1.008918228E3
2.186121330E2,1.008931427E3
2.196521200E2,1.008944244E3
2.206936950E2,1.008949432E3
2.217353250E2,1.008949432E3
2.227771560E2,1.008948441E3
2.238188450E2,1.008945847E3
2.248603790E2,1.008943024E3
2.259020300E2,1.008941727E3
2.269418740E2,1.008941269E3
2.279836900E2,1.008938141E3
2.290254520E2,1.008938065E3
2.300650470E2,1.008937759E3
2.311069800E2,1.008936615E3
2.321472190E2,1.008936615E3
2.331887920E2,1.008939056E3
2.342303900E2,1.008944473E3
2.352705490E2,1.008944702E3
2.363099030E2,1.008944702E3
2.373514600E2,1.008939362E3
2.383929900E2,1.008934326E3
2.394324320E2,1.008926163E3
2.404732560E2,1.008898697E3
2.415134370E2,1.008872910E3
2.425547640E2,1.008853531E3
2.435943020E2,1.008836670E3
2.446356280E2,1.008833313E3
2.456770350E2,1.008833313E3
2.467185270E2,1.008849030E3
2.477582420E2,1.008859177E3
2.487994210E2,1.008864899E3
2.498409370E2,1.008868866E3
2.508823880E2,1.008884048E3
2.519239470E2,1.008899918E3
2.529654010E2,1.008919983E3
2.540070400E2,1.008947754E3
2.550485800E2,1.008970261E3
2.560902410E2,1.008981705E3
2.571317800E2,1.008987274E3
2.581734170E2,1.008987274E3
2.592128390E2,1.008983307E3
2.602540860E2,1.008980331E3
2.612952810E2,1.008971252E3
2.623367250E2,1.008960266E3
2.633782300E2,1.008952026E3
2.644173950E2,1.008945923E3
2.654585460E2,1.008938675E3
2.664996890E2,1.008927536E3
2.675406850E2,1.008918304E3
2.685818680E2,1.008905182E3
2.696229950E2,1.008892517E3
2.706641190E2,1.008877182E3
2.717052130E2,1.008861237E3
2.727445820E2,1.008847580E3
2.737857230E2,1.008837051E3
2.748269880E2,1.008821411E3
2.758680900E2,1.008802338E3
2.769095070E2,1.008781204E3
2.779504110E2,1.008752899E3
2.789917080E2,1.008714600E3
2.800329220E2,1.008669739E3
2.810739800E2,1.008622055E3
2.821135650E2,1.008576736E3
2.831546830E2,1.008530579E3
2.841957910E2,1.008489380E3
2.852370570E2,1.008448563E3
2.862784810E2,1.008415451E3
2.873198490E2,1.008382034E3
2.883610610E2,1.008351593E3
2.894022200E2,1.008334198E3
2.904436660E2,1.008331833E3
2.914851710E2,1.008331833E3
2.925260560E2,1.008350372E3
2.935672370E2,1.008380661E3
2.946084110E2,1.008425522E3
2.956493790E2,1.008483353E3
2.966904060E2,1.008545380E3
2.977315350E2,1.008611145E3
2.987727620E2,1.008680191E3
2.998137990E2,1.008742294E3
3.008548570E2,1.008789139E3
3.018958850E2,1.008822250E3
3.029370960E2,1.008843384E3
3.039783650E2,1.008850174E3
3.050193020E2,1.008850174E3
3.060603500E2,1.008833466E3
3.071015870E2,1.008812637E3
3.081426760E2,1.008792267E3
3.091837660E2,1.008766022E3
3.102248590E2,1.008746185E3
3.112651370E2,1.008730545E3
3.123056730E2,1.008717270E3
3.133445340E2,1.008705444E3
3.143840310E2,1.008701401E3
3.154249420E2,1.008689423E3
3.164662080E2,1.008675308E3
3.175072720E2,1.008656311E3
3.185483720E2,1.008636475E3
3.195895240E2,1.008618927E3
3.206304200E2,1.008608551E3
3.216713550E2,1.008608551E3
3.227124560E2,1.008617401E3
3.237533840E2,1.008644409E3
3.247944950E2,1.008667831E3
3.258357390E2,1.008691711E3
3.268770530E2,1.008713455E3
3.279180290E2,1.008721237E3
3.289590320E2,1.008721237E3
3.300000270E2,1.008714828E3
3.310412650E2,1.008705673E3
3.320822950E2,1.008698730E3
3.331234500E2,1.008698730E3
3.341645210E2,1.008700714E3
3.352054220E2,1.008704681E3
3.362449430E2,1.008711853E3
3.372863020E2,1.008715286E3
3.383274440E2,1.008720169E3
3.393689480E2,1.008720398E3
3.404097380E2,1.008720398E3
3.414510300E2,1.008720016E3
3.424923350E2,1.008717422E3
3.435337880E2,1.008708191E3
3.445748750E2,1.008699493E3
3.456163800E2,1.008685913E3
3.466575820E2,1.008675842E3
3.476987850E2,1.008667450E3
3.487398640E2,1.008665466E3
3.497810690E2,1.008665466E3
3.508225480E2,1.008673172E3
3.518631700E2,1.008673172E3
3.529041730E2,1.008671494E3
3.539434050E2,1.008664169E3
3.549844650E2,1.008643646E3
3.560256800E2,1.008620377E3
3.570646280E2,1.008594666E3
3.581057660E2,1.008576508E3
3.591471090E2,1.008558197E3
3.601879600E2,1.008543015E3
3.612292890E2,1.008527832E3
