"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.175723060E2,2.486928406E0,1.115031281E0,9.518106995E0
3.179726970E2,2.350861359E0,1.127305756E0,9.302255859E0
3.183731180E2,2.511177979E0,1.035546570E0,9.355994110E0
3.187736064E2,2.316732330E0,1.158141632E0,9.586514740E0
3.191740884E2,2.318378906E0,1.150357819E0,9.329648895E0
3.195744672E2,2.358495483E0,1.064436493E0,9.382489014E0
3.199748882E2,2.401306458E0,9.285191345E-1,1.006656647E1
3.203753392E2,2.292782135E0,1.083746338E0,9.198970642E0
3.207757837E2,2.801723785E0,1.508113861E0,9.580676880E0
3.211761747E2,2.561623077E0,1.640887756E0,9.218729553E0
3.215765184E2,2.805466003E0,1.194665680E0,9.673034821E0
3.219769094E2,2.705623627E0,1.284628601E0,9.336684265E0
3.223772694E2,2.326462097E0,1.119971008E0,9.194779358E0
3.227776626E2,2.527943115E0,1.491199036E0,9.382339325E0
3.231780226E2,2.482437744E0,1.708097992E0,8.810827789E0
3.235783931E2,2.588117981E0,1.477727051E0,9.458081818E0
3.239787841E2,2.295626221E0,9.810598755E-1,9.597591705E0
3.243791751E2,2.533182220E0,9.764195251E-1,9.678722992E0
3.247795598E2,2.447111206E0,1.091829529E0,9.273964691E0
3.251799198E2,2.646346893E0,1.462758179E0,9.419312439E0
3.255803145E2,2.628533936E0,1.125210114E0,1.015518219E1
3.259807355E2,2.301164703E0,6.063890076E-1,9.838740234E0
3.263811565E2,2.395917664E0,8.273295593E-1,9.519304504E0
3.267816114E2,2.196532288E0,9.375004578E-1,8.920848999E0
3.271820934E2,2.556234283E0,9.463320923E-1,9.883197784E0
3.275826215E2,2.071991272E0,7.873626709E-1,9.070088654E0
3.279830425E2,2.486479340E0,8.002359009E-1,9.765243073E0
3.283834025E2,2.179467773E0,6.035449219E-1,9.428293762E0
3.287839079E2,2.404150543E0,7.837701416E-1,9.738897858E0
3.291843899E2,2.284848633E0,7.810757446E-1,9.449998627E0
3.295848334E2,2.432292023E0,6.165678406E-1,9.904004517E0
3.299852544E2,2.351310425E0,7.138655090E-1,9.360933838E0
3.303856144E2,2.476450195E0,7.370672607E-1,9.899962921E0
3.307860229E2,2.345921631E0,6.646179199E-1,9.558972015E0
3.311864129E2,2.586471405E0,9.984237671E-1,9.840237122E0
3.315868453E2,2.499801636E0,1.156345367E0,9.651928711E0
3.319872663E2,2.479443970E0,1.306034088E0,9.711355133E0
3.323876563E2,2.537074127E0,8.199948120E-1,9.666747894E0
3.327880239E2,2.396516418E0,9.210346985E-1,9.655221863E0
3.331884149E2,2.335443420E0,9.274713135E-1,9.147477722E0
3.335888514E2,2.711311798E0,8.408015442E-1,8.909622345E0
3.339892724E2,2.537822571E0,1.239422607E0,9.811496887E0
