"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.725739313E1,1.719025269E0,-1.381417328E1,5.028044128E-1
3.750811042E1,4.333638153E0,-1.617386627E1,2.789000244E0
3.775884342E1,3.111130371E0,-9.231153717E0,-1.362167358E-2
3.800954442E1,2.075583801E0,-1.449001785E1,4.248016205E0
3.826024642E1,1.827250214E0,-5.786516876E0,3.378474426E-1
3.851089900E1,1.858834534E0,-8.091723175E0,1.600771179E0
3.876163100E1,2.478994904E0,-2.622546387E-1,-3.647764435E0
3.901236400E1,1.722617798E0,-1.365984421E1,2.520907745E0
3.926306500E1,2.964285736E0,-1.280347504E1,-3.663631439E0
3.951380875E1,3.591032410E0,-9.697733459E0,6.772067413E0
3.976451075E1,3.287613373E0,-1.303309753E1,3.628454590E-1
4.001524275E1,2.806663513E-1,-6.320306854E0,7.752378845E-1
4.026597575E1,2.000140686E0,-5.490432587E0,-5.022056580E-1
4.051675037E1,2.331551514E0,-1.170730453E1,-4.894821167E-2
4.076745237E1,3.215463409E0,-1.508323425E1,2.545007629E0
4.101818437E1,2.208357697E0,-8.391399994E0,6.542893982E-1
4.126888638E1,1.907183990E0,-4.182003479E0,6.508465576E-1
4.151962925E1,2.336191864E0,-6.541995850E0,-3.833528137E-1
4.177036125E1,1.500479736E0,-5.618715820E0,-2.504292297E-1
4.202106325E1,1.776805115E-1,-4.966072998E0,-1.792821808E0
4.227182625E1,2.761756897E0,-1.070094727E1,-7.225474548E-1
4.252262992E1,2.117646332E0,-1.122620499E1,5.972579956E-1
4.277339292E1,3.081492004E0,-1.047776138E1,3.995191956E-1
4.302412592E1,3.796405334E0,-1.568707855E1,2.971919861E0
4.327488892E1,3.172502747E0,-1.138502472E1,5.807922363E-1
4.352563629E1,2.361938324E0,-1.116932327E1,6.851252747E-1
4.377636929E1,2.508184204E0,-1.016940262E1,1.257834320E0
4.402710129E1,3.310665436E0,-7.687413940E0,2.028282166E-1
4.427783329E1,1.459465027E0,-8.560248871E0,8.249345398E-1
4.452858962E1,3.101250916E0,-1.487441849E1,-1.790875854E0
4.477932262E1,2.763553162E0,-8.818761292E0,-9.948312378E-1
4.503005463E1,1.099014587E0,-7.080575867E0,-1.965412903E-1
4.528075662E1,3.548221436E0,-7.580386505E0,-2.972817993E-1
4.553147838E1,3.722159729E0,-1.361733261E1,2.609673157E0
4.578217937E1,3.317700806E0,-1.212837891E1,-2.092199249E0
4.603291237E1,3.636986847E0,-9.511670380E0,-2.501298523E-1
4.628361437E1,1.624122620E0,-1.010533585E1,-4.420756989E0
4.653436988E1,1.438957672E0,-1.008213409E1,3.577560425E-2
4.678510288E1,6.383625183E0,-2.584824829E0,2.922073517E0
4.703583488E1,2.654579773E0,-9.586215363E0,-4.052073669E-1
4.728656787E1,2.392923889E0,-1.076381653E1,1.452579346E0
4.753727663E1,1.002315674E0,-1.219289474E1,-2.496658173E0
4.778803962E1,3.219954071E0,-8.745862885E0,-2.454895020E-2
4.803874163E1,3.264261932E0,-1.023706192E1,1.733245697E0
4.828947363E1,2.009421387E0,-9.159303131E0,-2.480342102E-1
4.854023487E1,3.382216644E0,-1.040082138E1,4.981640625E-1
4.879096687E1,1.740281067E0,-3.604055328E0,-1.425036621E-1
4.904172987E1,2.502496033E0,-1.061727127E1,-2.234403534E0
4.929246187E1,1.994452515E0,-9.282496948E0,2.108515320E0
4.954320767E1,2.652484131E0,-9.426198120E0,4.867877197E-1
4.979394067E1,2.173779602E0,-8.102051697E0,-1.052611084E0
