"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.140475317E2,-9.310638428E-2,-5.752537537E-1,6.669830017E0
1.142984068E2,-4.977149963E-1,-2.317181396E-1,1.443328583E1
1.145492617E2,-6.352789307E-1,-3.218307495E-2,6.379284210E0
1.148001467E2,-2.260149994E0,1.144370270E0,1.428344742E1
1.150510007E2,-5.239105225E-3,-6.231541443E-1,8.267008667E0
1.153018544E2,-2.618654480E0,3.185375977E-1,1.048704208E1
1.155527394E2,7.541317749E-1,-2.662064209E0,6.969357147E0
1.158036244E2,-1.783541107E0,-1.387015686E0,1.003378464E1
1.160545094E2,3.616479492E-1,-4.731361084E0,1.103984253E1
1.163053647E2,-1.079405365E0,-1.390009460E0,1.100152222E1
1.165562497E2,-1.728605347E0,4.981640625E-1,9.549242249E0
1.168071347E2,-4.191284180E-3,5.879772949E-1,7.747888184E0
1.170580197E2,3.181783447E0,-2.310595093E0,9.167386322E0
1.173088969E2,4.805007935E-2,-3.926484833E0,9.789342957E0
1.175597819E2,-4.623884583E-1,-3.400478668E0,8.746910706E0
1.178106669E2,-1.428479462E0,-3.748355255E0,9.206754456E0
1.182281169E2,-2.062710571E-1,-2.912044373E0,9.991422729E0
1.186295083E2,-1.535057831E0,-1.781445465E0,9.788295135E0
1.190308762E2,-1.767823792E-1,-1.495540009E0,8.766070862E0
1.194322811E2,6.283932495E-1,1.020727386E0,1.118174744E1
1.198336791E2,-2.622247009E0,1.990859985E0,9.628128204E0
1.202351071E2,-1.591640167E0,1.523531799E0,6.668033752E0
1.206365164E2,1.463506622E0,1.050814819E0,9.419611816E0
1.210378834E2,-6.762936401E-1,8.566685486E-1,1.448612595E1
1.214392610E2,-2.549198914E-1,1.652563477E0,7.639962616E0
1.218406590E2,-1.749861145E0,5.824388123E-1,6.056405640E0
1.222420870E2,-4.429289246E-1,-2.094743958E0,1.000235001E1
1.226435262E2,-4.466112671E0,1.395697632E0,1.476544510E1
1.230449542E2,-2.914738770E0,1.115031281E0,1.052147049E1
1.234463323E2,-4.291575623E-1,1.380130005E0,4.453389130E0
1.238477302E2,-2.589465179E0,-1.130449219E0,5.645659790E0
1.242491272E2,-3.489992523E0,-1.003962250E0,9.330097961E0
1.246505489E2,-2.072440338E0,2.809657288E0,1.551299057E1
1.250519469E2,-2.321971436E0,2.971021729E0,1.024948608E1
1.254533795E2,5.352868652E-1,9.744735718E-1,5.285957794E0
1.258548685E2,1.251397705E-1,-1.311123505E0,8.416248322E0
1.262563585E2,-2.720442810E0,-1.731150055E0,1.449914886E1
1.266578294E2,7.918533325E-2,-4.578977966E-1,1.171987839E1
1.270592574E2,4.161346436E-1,-2.960842896E-1,6.887926483E0
1.274606311E2,-1.194515991E0,-2.429447937E-1,8.166717224E0
1.278620291E2,1.635049896E0,5.698649597E-1,1.587463852E1
1.282634126E2,-3.014730835E-1,-1.797761536E-1,1.043435165E1
1.286647496E2,-2.221081238E0,1.026415558E0,5.629493408E0
1.290662086E2,-4.649331665E-1,-6.008505249E-1,6.517297211E0
1.294676126E2,-3.372636566E0,-4.446054382E0,1.022763153E1
1.298690706E2,-2.152673492E0,2.504741364E0,1.641755951E1
1.302705545E2,-2.387535095E0,3.232527924E0,9.930499420E0
1.306719825E2,5.569917297E-1,1.168170776E0,4.764591980E0
1.310734115E2,1.548380127E0,1.169068909E-1,6.198460236E0
1.314749048E2,-5.729784851E0,-3.158881073E0,1.347408051E1
1.318763937E2,-7.330855408E0,-3.076701965E0,1.059930862E1
1.322778310E2,-1.466650085E0,1.439257050E0,4.778962097E0
1.326793200E2,-1.843715973E0,2.415975952E-1,7.840844879E0
1.330807480E2,-2.034269714E-1,-3.182681580E0,1.358200607E1
1.334822181E2,-3.771856384E0,2.640509033E-1,1.330553101E1
1.338836771E2,-3.181783447E0,7.361691284E-1,8.006699982E0
1.342850625E2,-1.705852661E0,-9.385482788E-2,5.752088470E0
1.346864595E2,-2.415377197E0,-5.161267090E-1,7.879015503E0
1.350878265E2,-3.276237030E0,-2.519410858E0,1.665406769E1
1.354891710E2,-2.281256104E0,-7.444020081E-1,1.367122055E1
1.358905380E2,-5.490582275E-1,-1.892963562E0,5.667664032E0
1.362919062E2,-1.286275177E0,-2.211501160E0,4.784799957E0
1.366932732E2,-2.460433502E0,-4.729415131E0,6.314918060E0
1.370946402E2,-1.614991608E0,-3.718267822E-1,1.588466766E1
1.374960470E2,-9.101074219E-1,-2.320175171E-1,1.020832169E1
1.378974140E2,3.418890381E-1,6.328839111E-1,5.325924683E0
1.382987067E2,-1.354682922E0,4.144880676E-1,7.538773041E0
1.387000127E2,-3.233575745E0,-3.988755341E0,1.375848907E1
1.391013498E2,-1.338067474E0,2.032922516E0,1.512844025E1
1.395027194E2,-2.024839325E0,1.795815582E0,8.187673645E0
1.399040254E2,-1.354682922E-1,1.967209167E0,4.882846069E0
1.403053851E2,6.587800598E-1,1.092727661E-2,6.826703796E0
1.407067521E2,-5.400918732E0,1.663490753E0,1.461575638E1
1.411080891E2,-1.965562592E0,1.249002686E0,1.104627914E1
1.415093766E2,1.766326904E-1,-3.333567810E-1,5.219945068E0
1.419107436E2,-1.364263000E0,1.785037994E0,4.186344452E0
1.423120515E2,-1.673968964E0,2.183509369E0,1.203227875E1
1.427133885E2,-5.703439636E0,4.853806458E0,1.161898819E1
1.431146945E2,-1.502276001E0,3.164120178E0,6.035598907E0
1.435160379E2,-1.091380463E0,6.379733276E-1,6.046226807E0
1.439173739E2,-4.581073608E0,-1.402882690E0,9.417965240E0
1.443186875E2,-3.112627258E0,3.791764984E0,1.484732483E1
1.447200855E2,-2.803669739E0,3.472628632E0,1.014290771E1
1.451214225E2,-2.353106689E-1,1.513802032E0,5.157973938E0
1.455227562E2,-1.059796143E-1,7.126679993E-1,8.673114166E0
1.459240632E2,-4.800068207E0,3.499722290E0,1.416788773E1
1.463253735E2,-6.759942627E-1,2.081271973E0,1.173424850E1
1.467267095E2,-1.261127472E0,3.475622406E0,5.876629486E0
1.471279855E2,1.820214844E-1,1.921404419E0,5.749094696E0
1.475292677E2,2.120789795E0,-5.676196289E-1,9.105714569E0
1.479306037E2,-2.552342377E0,3.154689789E0,1.377405670E1
1.483319210E2,-1.223854980E0,2.500999146E0,7.745044098E0
1.487332880E2,-1.000519409E0,2.957849121E-1,5.167853394E0
1.491346550E2,-1.216220856E0,1.583706665E-1,8.219856720E0
1.495360634E2,-3.260220337E-1,3.650159454E0,1.516212021E1
1.499374004E2,-1.905986481E0,3.533551941E0,9.912985840E0
1.503387489E2,-3.758683777E-1,2.019300842E0,5.349575500E0
1.507401169E2,-2.453398132E-1,2.158511353E-1,7.245682526E0
1.511414839E2,-2.324216766E0,-2.246678009E0,1.423060730E1
1.515428339E2,-1.105301514E0,2.464475098E0,1.394814468E1
1.519442319E2,-1.384021912E0,2.241887970E0,7.041058044E0
1.523455787E2,1.113684082E-1,1.561253357E0,5.554050293E0
1.527469158E2,1.279838562E0,2.216889954E-1,8.570876770E0
1.531482828E2,-1.622176666E0,2.525548096E0,1.439661209E1
1.535496331E2,-4.257147217E-1,1.658551025E0,1.047327072E1
1.539509701E2,1.093176727E0,1.329235840E-1,6.108497314E0
1.543522824E2,-2.124082947E-1,1.089135132E0,9.741891632E0
1.547536194E2,-1.885928192E0,6.349795532E-1,1.655781784E1
1.551549864E2,-1.860930176E0,1.569336548E0,1.325837906E1
1.555563330E2,9.310638428E-2,2.363584900E0,5.553301849E0
1.559576690E2,-6.975494385E-1,5.722599792E-1,7.458240509E0
1.563591110E2,-2.523153076E0,-8.271798706E-1,1.088641159E1
1.567604470E2,-1.189576263E0,4.098177795E0,1.450214264E1
1.571618150E2,-1.165925446E0,4.031266937E0,6.446045380E0
1.575631314E2,-9.849517822E-2,1.001866608E0,6.144422607E0
1.579644984E2,2.382894745E0,-6.783892822E-1,7.496261444E0
1.583658661E2,-1.409768372E0,2.678529968E0,1.496213608E1
1.587671721E2,-1.234033813E0,2.789748688E0,8.628357239E0
