,Time (s),X (µT),Y (µT),Z (µT)
718,1.55965373522e+18,16.66923523,0.1218185425,-42.31677246
719,1.55965373547e+18,14.98060608,-1.2264328,-42.70928955
720,1.55965373571e+18,16.21443176,1.168495178,-42.45587158
721,1.55965373596e+18,13.72473145,-0.5342178345,-43.18688965
722,1.55965373621e+18,12.62297058,-0.3369674683,-43.46612549
723,1.55965373646e+18,11.33200073,1.159828186,-43.64837646
724,1.55965373671e+18,10.87731934,2.695137024,-43.99938965
725,1.55965373696e+18,5.854553223,2.922035217,-44.59643555
726,1.55965373721e+18,8.452590942,3.385124207,-44.09613037
727,1.55965373746e+18,10.3898468,3.792488098,-43.78570557
728,1.55965373771e+18,11.32170105,3.277503967,-43.49066162
729,1.55965373796e+18,5.731964111,4.775123596,-44.08636475
730,1.55965373821e+18,10.98194885,7.284111023,-43.35675049
731,1.55965373846e+18,15.81201172,3.8776474,-42.39526367
732,1.55965373871e+18,13.65455627,4.878593445,-42.86932373
733,1.55965373896e+18,15.82084656,4.235054016,-41.93621826
734,1.55965373921e+18,20.83015442,-1.032722473,-39.91503906
735,1.55965373946e+18,21.57164001,-3.585533142,-39.06237793
736,1.55965373971e+18,14.02252197,3.397377014,-41.88677979
737,1.55965373996e+18,7.852706909,2.20287323,-43.25701904
738,1.55965374021e+18,11.80276489,2.512397766,-42.19671631
739,1.55965374046e+18,15.10249329,6.983253479,-40.9631958
740,1.55965374071e+18,12.51933289,7.846748352,-41.34185791
741,1.55965374096e+18,9.542556763,15.17229462,-40.48693848
742,1.55965374121e+18,11.37138367,12.35340118,-41.06951904
743,1.55965374146e+18,12.20814514,13.22608185,-40.86462402
744,1.55965374171e+18,10.77690125,9.013237,-42.47473145
745,1.55965374196e+18,9.504821777,11.20510101,-42.56494141
746,1.5596537422e+18,5.204925537,10.00261688,-43.56634521
747,1.55965374245e+18,10.33032227,10.73795319,-42.41046143
748,1.5596537427e+18,14.20776367,10.49915314,-41.99633789
749,1.55965374295e+18,16.789505,11.73183441,-40.72833252
750,1.5596537432e+18,16.05947876,11.97728729,-41.07794189
751,1.55965374345e+18,16.15835571,10.77108002,-41.17498779
752,1.5596537437e+18,17.73670959,8.514305115,-41.00561523
753,1.55965374395e+18,13.26982117,6.652671814,-42.91888428
754,1.5596537442e+18,9.774246216,10.94246674,-42.72406006
755,1.55965374445e+18,10.54502869,4.530326843,-43.72137451
756,1.5596537447e+18,16.37046814,5.360588074,-42.23736572
757,1.55965374495e+18,12.14309692,4.553413391,-43.70001221
758,1.5596537452e+18,8.435668945,15.07602692,-41.93121338
759,1.55965374545e+18,8.442260742,10.1218338,-43.54327393
760,1.5596537457e+18,4.875106812,11.72898102,-43.62683105
761,1.55965374595e+18,2.746292114,10.41873932,-43.99475098
762,1.5596537462e+18,5.201675415,10.11620331,-43.86529541
763,1.55965374645e+18,8.444076538,5.617622375,-44.09100342
764,1.5596537467e+18,11.62477112,3.478340149,-43.66497803
765,1.55965374695e+18,14.2660675,2.193733215,-42.84216309
766,1.5596537472e+18,16.38066101,0.2071304321,-42.51861572
767,1.55965374745e+18,17.1368866,-1.143379211,-42.41687012
768,1.5596537477e+18,18.67900085,-3.057304382,-41.30877686
769,1.55965374795e+18,19.44229126,-2.154121399,-41.29107666
770,1.5596537482e+18,17.56944275,-1.306053162,-41.86547852
771,1.55965374845e+18,13.92523193,0.1543197632,-43.47210693
772,1.55965374869e+18,9.935455322,4.865226746,-43.75366211
773,1.55965374894e+18,12.49833679,6.984428406,-43.26495361
774,1.55965374919e+18,11.21954346,5.162193298,-43.75396729
775,1.55965374944e+18,13.98596191,2.795249939,-42.78741455
776,1.55965374969e+18,11.51730347,5.340736389,-43.79058838
777,1.55965374994e+18,12.49975586,8.135215759,-43.00854492
778,1.55965375019e+18,12.69523621,4.48184967,-43.38916016
779,1.55965375044e+18,11.4884491,6.379722595,-43.28314209
780,1.55965375069e+18,6.287536621,7.232658386,-44.60345459
781,1.55965375094e+18,11.51823425,11.30535126,-42.96264648
782,1.55965375119e+18,16.80877686,10.49637604,-41.45928955
783,1.55965375144e+18,18.96066284,8.057243347,-41.18084717
784,1.55965375169e+18,17.0635376,11.01174164,-41.37481689
785,1.55965375194e+18,18.27601624,8.627204895,-41.45196533
786,1.55965375219e+18,19.95651245,12.39095306,-39.60528564
787,1.55965375244e+18,14.95684814,14.8441391,-40.496521
788,1.55965375269e+18,12.41899109,16.89569855,-40.60638428
789,1.55965375294e+18,13.64830017,9.590553284,-42.18640137
790,1.55965375319e+18,15.28622437,12.41930389,-41.25970459
791,1.55965375344e+18,13.10821533,8.473686218,-42.54742432
792,1.55965375369e+18,8.102310181,11.21840668,-43.43585205
793,1.55965375394e+18,10.85690308,8.961647034,-43.36553955
794,1.55965375419e+18,13.59796143,10.93375397,-42.69244385
795,1.55965375444e+18,13.75773621,7.435783386,-42.98510742
796,1.55965375469e+18,16.13885498,3.719200134,-42.43585205
797,1.55965375493e+18,19.69390869,5.798744202,-41.21679688
798,1.55965375518e+18,23.23110962,6.846351624,-39.29956055
799,1.55965375543e+18,27.1171875,9.262519836,-36.38183594
800,1.55965375568e+18,24.30755615,9.425392151,-38.15350342
801,1.55965375593e+18,24.32862854,11.36965179,-37.60534668
802,1.55965375618e+18,22.82347107,9.444648743,-38.06256104
803,1.55965375643e+18,21.05903625,8.494361877,-38.94036865
804,1.55965375668e+18,15.3704071,6.145973206,-41.58074951
805,1.55965375693e+18,13.19039917,11.09108734,-42.20245361
806,1.55965375718e+18,14.00596619,10.3236618,-42.2791748
807,1.55965375743e+18,17.01609802,13.21659088,-40.67285156
808,1.55965375768e+18,14.2665863,7.411277771,-42.76452637
809,1.55965375793e+18,12.42715454,6.004356384,-43.70507812
810,1.55965375818e+18,13.32582092,8.744560242,-43.27288818
811,1.55965375843e+18,12.897995,9.484382629,-43.4631958
812,1.55965375868e+18,10.98323059,7.312507629,-44.00628662
813,1.55965375893e+18,11.37556458,8.249076843,-43.93572998
814,1.55965375918e+18,10.23339844,7.716941833,-44.36322021
815,1.55965375943e+18,14.5716095,9.627784729,-43.04223633
816,1.55965375968e+18,17.56404114,10.24478912,-41.5480957
817,1.55965375993e+18,22.72740173,11.76903534,-38.93475342
818,1.55965376018e+18,18.98156738,14.30912018,-40.06292725
819,1.55965376043e+18,19.37443542,9.814704895,-40.5559082
820,1.55965376068e+18,17.91920471,12.40418243,-40.82104492
821,1.55965376093e+18,14.02786255,13.76062775,-41.66766357
822,1.55965376118e+18,4.27331543,11.25914764,-44.05053711
823,1.55965376142e+18,7.918014526,12.1075058,-43.18707275
824,1.55965376167e+18,11.21322632,15.71804047,-41.37164307
825,1.55965376192e+18,9.273712158,14.4943924,-42.25653076
826,1.55965376217e+18,9.364135742,18.96294403,-40.24084473
827,1.55965376242e+18,16.57832336,11.62319183,-41.15563965
828,1.55965376267e+18,29.31834412,13.70575714,-33.34185791
829,1.55965376292e+18,21.04745483,11.37548065,-39.00311279
830,1.55965376317e+18,21.29154968,10.79053497,-39.1295166
831,1.55965376342e+18,16.80888367,7.224769592,-41.3694458
832,1.55965376367e+18,15.27870178,0.3958206177,-41.59783936
833,1.55965376392e+18,12.19403076,1.547554016,-42.75567627
834,1.55965376417e+18,9.607254028,2.113853455,-42.9553833
835,1.55965376442e+18,6.77204895,1.362312317,-43.21063232
836,1.55965376467e+18,8.87651062,2.217979431,-42.78497314
837,1.55965376492e+18,12.65536499,4.293479919,-41.84405518
838,1.55965376517e+18,8.847702026,4.770988464,-42.33581543
839,1.55965376542e+18,3.502593994,6.811439514,-43.44555664
840,1.55965376567e+18,6.005203247,7.045600891,-43.21636963
841,1.55965376592e+18,6.585021973,4.56893158,-43.05566406
842,1.55965376617e+18,4.08757019,4.654579163,-43.75317383
843,1.55965376642e+18,-2.386672974,7.797264099,-43.68566895
844,1.55965376667e+18,1.188415527,4.757286072,-44.18493652
845,1.55965376692e+18,5.539138794,8.283638,-43.5916748
846,1.55965376717e+18,8.771118164,2.402580261,-43.78460693
847,1.55965376742e+18,6.728103638,7.026527405,-43.62219238
848,1.55965376767e+18,6.18888855,3.621742249,-44.26312256
849,1.55965376791e+18,8.676986694,2.371162415,-43.91925049
850,1.55965376816e+18,5.364852905,4.453620911,-44.3192749
851,1.55965376841e+18,3.727355957,5.060005188,-44.76593018
852,1.55965376866e+18,2.945404053,3.904350281,-44.76373291
853,1.55965376891e+18,5.420196533,4.161811829,-44.90905762
854,1.55965376916e+18,6.77381897,3.67905426,-44.6383667
855,1.55965376941e+18,3.559234619,4.977882385,-44.93389893
856,1.55965376966e+18,1.394088745,6.176872253,-45.04022217
857,1.55965376991e+18,2.397354126,3.279029846,-45.22509766
858,1.55965377016e+18,7.380630493,6.955085754,-44.3147583
859,1.55965377041e+18,4.117660522,8.506507874,-44.65509033
860,1.55965377066e+18,0.2712249756,10.46630096,-44.60217285
861,1.55965377091e+18,0.5001068115,2.439613342,-45.63702393
862,1.55965377116e+18,5.642242432,7.069984436,-45.20721436
863,1.55965377141e+18,0.9634552002,9.237266541,-45.0894165
864,1.55965377166e+18,-4.689193726,17.55233002,-42.42932129
865,1.55965377191e+18,-3.928009033,15.25708771,-43.48010254
866,1.55965377216e+18,-0.9914703369,15.26753998,-43.61383057
867,1.55965377241e+18,-1.423171997,12.80362701,-44.32263184
868,1.55965377266e+18,-0.899810791,12.66699982,-44.36120605
869,1.55965377291e+18,-0.1611480713,10.91939545,-44.01098633
870,1.55965377316e+18,-0.4562683105,9.047279358,-44.4598999
871,1.55965377341e+18,-1.09236145,9.312858582,-43.65527344
